,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,1,10,12,0,0,8.33,7,caught,1,v England,Lord's
1,DNB,-,-,-,-,-,-,-,1,v Kenya,Southampton
2,DNB,-,-,-,-,-,-,-,2,v England,Indore
3,14,34,23,2,1,60.86,5,caught,2,v South Africa,Cape Town
4,17,74,38,2,0,44.73,5,caught,2,v South Africa,Port Elizabeth
5,11,18,15,2,0,73.33,6,caught,1,v South Africa,Centurion
6,DNB,-,-,-,-,-,-,-,1,v West Indies,Nagpur
7,63,126,87,7,0,72.41,5,bowled,1,v West Indies,Cuttack
8,8,21,17,0,0,47.05,7,caught,1,v West Indies,Chennai
9,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kolkata
10,31,55,49,1,0,63.26,7,lbw,2,v Sri Lanka,Rajkot
11,4*,5,6,1,0,66.66,7,not out,2,v Sri Lanka,Margao
12,1,10,9,0,0,11.11,4,caught,2,v Sri Lanka,Visakhapatnam
13,58*,79,60,4,0,96.66,7,not out,2,v Bangladesh,Dhaka
14,6,5,4,1,0,150.00,7,lbw,1,v Bangladesh,Dhaka
15,DNB,-,-,-,-,-,-,-,2,v Ireland,Belfast
16,19,13,10,2,1,190.00,6,bowled,1,v South Africa,Belfast
17,32*,73,37,1,0,86.48,6,not out,2,v South Africa,Belfast
18,DNB,-,-,-,-,-,-,-,2,v South Africa,Belfast
19,14,-,26,2,0,53.84,3,caught,2,v Scotland,Glasgow
20,44*,77,45,4,0,97.77,7,not out,2,v England,Southampton
21,1,5,2,0,0,50.00,6,lbw,1,v England,Bristol
22,0,2,2,0,0,0.00,3,caught,2,v England,Birmingham
23,4,29,22,1,0,18.18,3,caught,1,v England,Manchester
24,2*,7,3,0,0,66.66,7,not out,1,v England,Leeds
25,0,12,6,0,0,0.00,3,caught,2,v Australia,Mumbai
26,67,123,77,6,1,87.01,1,caught,1,v West Indies,Kingston
27,4,3,5,0,0,80.00,1,caught,1,v West Indies,Kingston
28,47,60,43,5,1,109.30,1,run out,2,v West Indies,Gros Islet
29,TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet
30,4,8,11,0,0,36.36,1,lbw,2,v New Zealand,Colombo (RPS)
31,16,24,23,2,0,69.56,1,caught,2,v Sri Lanka,Colombo (RPS)
32,34,123,79,4,0,43.03,1,caught,2,v West Indies,Johannesburg
33,32*,44,31,4,1,103.22,5,not out,2,v Sri Lanka,Cuttack
34,19*,-,22,1,0,86.36,5,not out,2,v Sri Lanka,Kolkata
35,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi
36,48,55,40,9,0,120.00,1,caught,2,v Sri Lanka,Dhaka
37,34,53,39,3,1,87.17,1,caught,2,v Bangladesh,Dhaka
38,44,-,56,5,1,78.57,3,caught,1,v South Africa,Jaipur
39,79,124,85,4,3,92.94,3,caught,1,v South Africa,Gwalior
40,11,-,11,2,0,100.00,1,caught,2,v South Africa,Ahmedabad
41,22,54,39,2,0,56.41,1,caught,1,v Zimbabwe,Bulawayo
42,18,47,26,3,0,69.23,1,caught,2,v Sri Lanka,Bulawayo
43,33,66,47,4,0,70.21,1,caught,1,v Zimbabwe,Harare
44,27,42,34,5,0,79.41,1,caught,1,v Sri Lanka,Harare
45,40,71,43,6,0,93.02,2,caught,1,v Sri Lanka,Dambulla
46,66,126,84,9,0,78.57,2,caught,1,v Sri Lanka,Dambulla
47,14,33,20,2,0,70.00,1,lbw,2,v New Zealand,Dambulla
48,10,41,35,0,0,28.57,1,caught,2,v Sri Lanka,Dambulla
49,9,-,25,0,0,36.00,1,caught,1,v Sri Lanka,Dambulla
50,0,2,3,0,0,0.00,1,caught,1,v New Zealand,Dambulla
51,0,3,2,0,0,0.00,2,caught,2,v Sri Lanka,Dambulla
52,14,21,15,1,1,93.33,4,caught,1,v South Africa,Cardiff
