,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,DNB,-,-,-,-,-,-,-,2,v New Zealand,Dharamsala
1,36,51,32,3,0,112.50,8,caught,2,v New Zealand,Delhi
2,DNB,-,-,-,-,-,-,-,2,v New Zealand,Mohali
3,9,18,13,0,0,69.23,8,caught,2,v New Zealand,Ranchi
4,40*,60,37,3,1,108.10,7,not out,2,v England,Pune
5,19*,23,9,2,1,211.11,7,not out,1,v England,Cuttack
6,56,67,43,4,2,130.23,7,bowled,2,v England,Kolkata
7,20*,8,6,0,3,333.33,5,not out,1,v Pakistan,Birmingham
8,9,8,5,0,1,180.00,6,caught,1,v Sri Lanka,The Oval
9,DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval
10,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Birmingham
11,76,46,43,4,6,176.74,7,run out,2,v Pakistan,The Oval
12,DNB,-,-,-,-,-,-,-,1,v West Indies,Port of Spain
13,4,-,5,0,0,80.00,4,caught,1,v West Indies,Port of Spain
14,DNB,-,-,-,-,-,-,-,1,v West Indies,North Sound
15,20,-,21,1,1,95.23,7,bowled,2,v West Indies,North Sound
16,DNB,-,-,-,-,-,-,-,2,v West Indies,Kingston
17,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla
18,0,-,3,0,0,0.00,7,stumped,2,v Sri Lanka,Pallekele
19,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Pallekele
20,19,-,18,1,1,105.55,4,caught,1,v Sri Lanka,Colombo (RPS)
21,83,86,66,5,5,125.75,7,caught,1,v Australia,Chennai
22,20,56,26,2,0,76.92,7,caught,1,v Australia,Kolkata
23,78,98,72,5,4,108.33,4,caught,2,v Australia,Indore
24,41,64,40,1,3,102.50,4,caught,2,v Australia,Bengaluru
25,DNB,-,-,-,-,-,-,-,2,v Australia,Nagpur
26,16,18,16,1,1,100.00,7,caught,1,v New Zealand,Mumbai
27,30,48,31,2,1,96.77,5,caught,2,v New Zealand,Pune
28,8,9,6,1,0,133.33,4,caught,1,v New Zealand,Kanpur
29,10,11,10,2,0,100.00,7,caught,1,v Sri Lanka,Dharamsala
30,8,12,5,1,0,160.00,5,caught,1,v Sri Lanka,Mohali
31,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Visakhapatnam
32,3*,15,6,0,0,50.00,5,not out,2,v South Africa,Durban
33,DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion
34,14,21,15,0,1,93.33,5,caught,1,v South Africa,Cape Town
35,9,17,13,1,0,69.23,7,caught,1,v South Africa,Johannesburg
36,0,1,1,0,0,0.00,6,caught,1,v South Africa,Port Elizabeth
37,DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion
38,DNB,-,-,-,-,-,-,-,2,v England,Nottingham
39,21,-,22,1,0,95.45,7,caught,2,v England,Lord's
40,21,29,21,2,0,100.00,7,caught,1,v England,Leeds
41,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC)
42,DNB,-,-,-,-,-,-,-,2,v New Zealand,Mount Maunganui
43,16,37,20,4,0,80.00,7,caught,1,v New Zealand,Hamilton
44,45,27,22,2,5,204.54,8,caught,1,v New Zealand,Wellington
45,15*,8,7,3,0,214.28,6,not out,2,v South Africa,Southampton
46,48,41,27,4,3,177.77,4,caught,1,v Australia,The Oval
47,26,24,19,2,1,136.84,4,caught,1,v Pakistan,Manchester
48,7,23,9,0,0,77.77,7,caught,1,v Afghanistan,Southampton
49,46,48,38,5,0,121.05,7,caught,1,v West Indies,Manchester
50,45,49,33,4,0,136.36,5,caught,2,v England,Birmingham
51,0,4,2,0,0,0.00,5,caught,1,v Bangladesh,Birmingham
52,7*,8,4,1,0,175.00,5,not out,2,v Sri Lanka,Leeds
53,32,81,62,2,0,51.61,6,caught,2,v New Zealand,Manchester
