,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,7.0,0,31,3,4.42,2,1,v New Zealand,Dharamsala
1,9.0,0,45,0,5.00,2,1,v New Zealand,Delhi
2,5.0,0,34,0,6.80,2,1,v New Zealand,Mohali
3,5.0,0,31,1,6.20,3,1,v New Zealand,Ranchi
4,9.0,0,46,2,5.11,2,1,v England,Pune
5,6.0,0,60,0,10.00,4,2,v England,Cuttack
6,10.0,1,49,3,4.90,2,1,v England,Kolkata
7,8.0,0,43,2,5.37,4,2,v Pakistan,Birmingham
8,7.0,1,51,0,7.28,4,2,v Sri Lanka,The Oval
9,10.0,0,52,1,5.20,4,1,v South Africa,The Oval
10,4.0,0,34,0,8.50,4,1,v Bangladesh,Birmingham
11,10.0,0,53,1,5.30,4,1,v Pakistan,The Oval
12,TDNB,-,-,-,-,-,-,v West Indies,Port of Spain
13,9.0,0,32,0,3.55,3,2,v West Indies,Port of Spain
14,6.0,0,32,2,5.33,3,2,v West Indies,North Sound
15,10.0,0,40,3,4.00,4,1,v West Indies,North Sound
16,6.0,0,27,1,4.50,3,1,v West Indies,Kingston
17,6.0,0,35,0,5.83,2,1,v Sri Lanka,Dambulla
18,5.2,0,24,1,4.50,4,1,v Sri Lanka,Pallekele
19,8.0,0,42,1,5.25,4,1,v Sri Lanka,Pallekele
20,8.0,0,50,2,6.25,3,2,v Sri Lanka,Colombo (RPS)
21,4.0,0,28,2,7.00,3,2,v Australia,Chennai
22,10.0,0,56,2,5.60,3,2,v Australia,Kolkata
23,10.0,0,58,1,5.80,4,1,v Australia,Indore
24,5.0,0,32,0,6.40,4,1,v Australia,Bengaluru
25,2.0,0,14,1,7.00,3,1,v Australia,Nagpur
26,10.0,0,46,1,4.60,4,2,v New Zealand,Mumbai
27,4.0,0,23,1,5.75,4,1,v New Zealand,Pune
28,5.0,0,47,0,9.40,3,2,v New Zealand,Kanpur
29,5.0,0,39,1,7.80,3,2,v Sri Lanka,Dharamsala
30,10.0,0,39,1,3.90,2,2,v Sri Lanka,Mohali
31,10.0,1,49,2,4.90,3,1,v Sri Lanka,Visakhapatnam
32,7.0,0,41,0,5.85,3,1,v South Africa,Durban
33,5.0,0,34,0,6.80,3,1,v South Africa,Centurion
34,8.0,0,35,0,4.37,3,2,v South Africa,Cape Town
35,5.0,0,37,1,7.40,4,2,v South Africa,Johannesburg
36,9.0,0,30,2,3.33,3,2,v South Africa,Port Elizabeth
37,10.0,0,39,1,3.90,3,1,v South Africa,Centurion
38,7.0,0,47,0,6.71,4,1,v England,Nottingham
39,10.0,0,70,1,7.00,3,1,v England,Lord's
40,5.3,0,39,0,7.09,2,2,v England,Leeds
41,4.5,0,24,0,4.96,3,1,v Pakistan,Dubai (DSC)
42,10.0,0,45,2,4.50,4,1,v New Zealand,Mount Maunganui
43,3.0,0,15,0,5.00,3,2,v New Zealand,Hamilton
44,8.0,1,50,2,6.25,3,2,v New Zealand,Wellington
45,6.0,0,31,0,5.16,3,1,v South Africa,Southampton
46,10.0,0,68,0,6.80,3,2,v Australia,The Oval
47,8.0,0,44,2,5.50,4,2,v Pakistan,Manchester
48,10.0,1,51,2,5.10,4,2,v Afghanistan,Southampton
49,5.0,0,28,1,5.60,3,2,v West Indies,Manchester
50,10.0,0,60,0,6.00,4,1,v England,Birmingham
51,10.0,0,60,3,6.00,5,2,v Bangladesh,Birmingham
52,10.0,0,50,1,5.00,3,1,v Sri Lanka,Leeds
53,10.0,0,55,1,5.50,3,1,v New Zealand,Manchester
