,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,7.0,0,38,0,5.42,3,1,v South Africa,Belfast
1,2.0,0,7,1,3.50,3,2,v Australia,Brisbane
2,TDNB,-,-,-,-,-,-,v Sri Lanka,Brisbane
3,9.1,1,38,4,4.14,2,1,v Australia,Melbourne
4,4.0,0,27,1,6.75,2,2,v Sri Lanka,Canberra
5,9.0,1,32,2,3.55,2,1,v Australia,Adelaide
6,10.0,0,44,0,4.40,2,1,v Sri Lanka,Adelaide
7,10.0,0,65,1,6.50,2,1,v Australia,Sydney
8,10.0,0,41,4,4.10,2,1,v Sri Lanka,Hobart
9,8.0,0,32,1,4.00,2,1,v Australia,Sydney
10,6.0,0,28,1,4.66,2,2,v Pakistan,Dhaka
11,10.0,0,57,1,5.70,2,1,v Pakistan,Dhaka
12,10.0,0,69,0,6.90,3,1,v Pakistan,Karachi
13,10.0,0,48,1,4.80,3,1,v Bangladesh,Karachi
14,10.0,1,63,0,6.30,3,2,v Pakistan,Karachi
15,10.0,0,55,2,5.50,2,1,v Sri Lanka,Karachi
16,10.0,1,52,3,5.20,2,1,v Sri Lanka,Karachi
17,9.0,0,60,2,6.66,3,1,v England,Kanpur
18,5.0,0,41,2,8.20,3,2,v England,Bengaluru
19,10.0,0,54,1,5.40,3,1,v England,Cuttack
20,10.0,1,52,3,5.20,3,1,v Sri Lanka,Dambulla
21,10.0,1,57,4,5.70,3,2,v Sri Lanka,Colombo (RPS)
22,5.0,0,35,0,7.00,3,2,v Sri Lanka,Colombo (RPS)
23,5.0,0,39,0,7.80,3,2,v Sri Lanka,Colombo (RPS)
24,10.0,0,60,3,6.00,2,1,v Sri Lanka,Colombo (RPS)
25,8.0,0,57,2,7.12,3,1,v New Zealand,Hamilton
26,7.2,1,63,1,8.59,3,2,v New Zealand,Auckland
27,5.0,0,38,1,7.60,3,2,v West Indies,Kingston
28,5.0,0,35,0,7.00,1,1,v West Indies,Gros Islet
29,4.0,0,17,1,4.25,1,1,v West Indies,Gros Islet
30,10.0,2,26,2,2.60,3,1,v New Zealand,Colombo (RPS)
31,10.0,0,67,1,6.70,3,1,v Sri Lanka,Colombo (RPS)
32,7.0,0,51,1,7.28,2,2,v Sri Lanka,Colombo (RPS)
33,8.0,2,39,2,4.87,3,1,v Pakistan,Centurion
34,7.3,0,53,1,7.06,3,1,v Australia,Centurion
35,10.0,0,50,3,5.00,3,1,v Australia,Vadodara
36,8.0,0,34,2,4.25,3,2,v Australia,Nagpur
37,5.0,0,24,0,4.80,3,1,v Australia,Delhi
38,5.0,0,42,0,8.40,3,1,v Australia,Mohali
39,7.0,0,63,2,9.00,2,1,v Sri Lanka,Cuttack
40,7.0,0,67,0,9.57,3,1,v Sri Lanka,Kolkata
41,9.0,1,32,2,3.55,3,1,v Sri Lanka,Dambulla
42,3.1,0,15,2,4.73,3,2,v Sri Lanka,Dambulla
43,6.0,1,27,1,4.50,4,2,v New Zealand,Dambulla
44,8.0,0,54,2,6.75,4,1,v Sri Lanka,Dambulla
45,10.0,0,60,1,6.00,2,1,v West Indies,North Sound
46,9.4,0,49,0,5.06,2,2,v West Indies,Kingston
47,10.0,0,39,1,3.90,2,2,v Pakistan,Chennai
48,9.3,0,34,3,3.57,3,1,v Pakistan,Kolkata
49,9.5,0,36,3,3.66,3,2,v Pakistan,Delhi
50,10.0,2,86,0,8.60,2,1,v England,Rajkot
51,4.0,0,28,0,7.00,3,2,v England,Kochi
52,7.0,0,29,2,4.14,3,1,v England,Ranchi
53,10.0,2,47,2,4.70,3,1,v England,Mohali
54,10.0,3,37,1,3.70,3,2,v England,Dharamsala
55,8.0,0,66,2,8.25,3,2,v South Africa,Cardiff
56,10.0,1,43,1,4.30,3,1,v West Indies,The Oval
57,7.0,0,40,2,5.71,3,1,v Pakistan,Birmingham
58,9.0,1,33,3,3.66,3,1,v Sri Lanka,Cardiff
59,4.0,0,36,2,9.00,5,2,v England,Birmingham
60,9.0,0,51,2,5.66,4,2,v West Indies,Kingston
61,9.0,0,68,0,7.55,3,1,v Sri Lanka,Kingston
62,7.0,1,30,2,4.28,3,2,v West Indies,Port of Spain
63,4.0,0,17,2,4.25,3,2,v Sri Lanka,Port of Spain
64,8.0,1,45,2,5.62,3,1,v Sri Lanka,Port of Spain
65,7.0,0,56,1,8.00,3,1,v Australia,Pune
66,9.0,1,70,0,7.77,2,1,v Australia,Jaipur
67,8.0,1,63,1,7.87,3,2,v Australia,Mohali
68,7.0,0,38,0,5.42,3,1,v South Africa,Durban
69,10.0,1,40,4,4.00,1,1,v South Africa,Centurion
70,9.0,0,72,1,8.00,3,1,v New Zealand,Napier
71,6.0,0,46,1,7.66,3,1,v New Zealand,Hamilton
72,8.0,1,34,4,4.25,3,2,v Sri Lanka,Cuttack
73,10.0,0,58,0,5.80,2,1,v Sri Lanka,Ahmedabad
74,4.0,1,14,0,3.50,3,1,v Sri Lanka,Hyderabad (Deccan)
75,TDNB,-,-,-,-,-,-,v Australia,Sydney
76,10.0,0,60,1,6.00,2,2,v Australia,Brisbane
77,10.0,0,53,2,5.30,3,2,v Australia,Melbourne
78,10.0,0,77,4,7.70,3,1,v Australia,Canberra
79,10.0,0,60,2,6.00,1,1,v Australia,Sydney
