,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,10.0,0,40,2,4.00,3,1,v Australia,Sydney
1,9.5,2,28,4,2.84,3,1,v Zimbabwe,Harare
2,6.0,0,27,1,4.50,3,1,v Zimbabwe,Harare
3,10.0,1,22,4,2.20,3,1,v Zimbabwe,Harare
4,8.0,1,29,0,3.62,3,1,v New Zealand,Dharamsala
5,10.0,0,35,3,3.50,3,1,v New Zealand,Delhi
6,9.4,0,52,2,5.37,3,1,v New Zealand,Mohali
7,5.0,0,16,1,3.20,2,2,v New Zealand,Visakhapatnam
8,10.0,0,79,2,7.90,3,1,v England,Pune
9,9.0,0,81,2,9.00,2,2,v England,Cuttack
10,10.0,1,68,1,6.80,3,1,v England,Kolkata
11,5.0,0,23,0,4.60,3,2,v Pakistan,Birmingham
12,10.0,0,52,0,5.20,3,2,v Sri Lanka,The Oval
13,8.0,0,28,2,3.50,2,1,v South Africa,The Oval
14,10.0,1,39,2,3.90,2,1,v Bangladesh,Birmingham
15,9.0,0,68,0,7.55,2,1,v Pakistan,The Oval
16,6.2,0,22,2,3.47,3,1,v Sri Lanka,Dambulla
17,10.0,2,43,4,4.30,2,1,v Sri Lanka,Pallekele
18,10.0,2,27,5,2.70,2,1,v Sri Lanka,Pallekele
19,7.0,0,32,2,4.57,2,2,v Sri Lanka,Colombo (RPS)
20,10.0,0,45,2,4.50,3,1,v Sri Lanka,Colombo (RPS)
21,4.0,0,20,1,5.00,2,2,v Australia,Chennai
22,7.0,1,39,0,5.57,2,2,v Australia,Kolkata
23,10.0,0,52,2,5.20,2,1,v Australia,Indore
24,10.0,2,51,2,5.10,2,1,v Australia,Nagpur
25,9.0,0,56,1,6.22,2,2,v New Zealand,Mumbai
26,10.0,2,38,2,3.80,2,1,v New Zealand,Pune
27,10.0,0,47,3,4.70,2,2,v New Zealand,Kanpur
28,7.0,1,32,1,4.57,2,2,v Sri Lanka,Dharamsala
29,10.0,0,43,2,4.30,3,2,v Sri Lanka,Mohali
30,8.0,1,39,1,4.87,2,1,v Sri Lanka,Visakhapatnam
31,10.0,0,56,1,5.60,2,1,v South Africa,Durban
32,5.0,1,12,1,2.40,2,1,v South Africa,Centurion
33,7.0,0,32,2,4.57,2,2,v South Africa,Cape Town
34,5.0,0,21,1,4.20,2,2,v South Africa,Johannesburg
35,7.0,0,22,1,3.14,2,2,v South Africa,Port Elizabeth
36,8.0,1,24,2,3.00,2,1,v South Africa,Centurion
37,7.1,2,23,2,3.20,2,1,v Pakistan,Dubai (DSC)
38,9.1,1,37,3,4.03,2,1,v Bangladesh,Dubai (DSC)
39,10.0,1,29,2,2.90,2,1,v Pakistan,Dubai (DSC)
40,8.3,0,39,1,4.58,2,1,v Bangladesh,Dubai (DSC)
41,10.0,1,35,4,3.50,2,1,v West Indies,Pune
42,8.0,1,25,0,3.12,2,2,v West Indies,Mumbai (BS)
43,6.0,1,11,2,1.83,2,1,v West Indies,Thiruvananthapuram
44,10.0,0,60,2,6.00,2,1,v Australia,Hyderabad (Deccan)
45,10.0,0,29,2,2.90,2,2,v Australia,Nagpur
46,10.0,0,53,0,5.30,2,1,v Australia,Ranchi
47,8.5,0,63,3,7.13,2,2,v Australia,Mohali
48,10.0,0,39,0,3.90,3,1,v Australia,Delhi
49,10.0,1,35,2,3.50,2,1,v South Africa,Southampton
50,10.0,1,61,3,6.10,2,2,v Australia,The Oval
51,8.0,0,52,0,6.50,2,2,v Pakistan,Manchester
52,10.0,1,39,2,3.90,2,2,v Afghanistan,Southampton
53,6.0,1,9,2,1.50,2,2,v West Indies,Manchester
54,10.0,1,44,1,4.40,2,1,v England,Birmingham
55,10.0,1,55,4,5.50,2,2,v Bangladesh,Birmingham
56,10.0,2,37,3,3.70,2,1,v Sri Lanka,Leeds
57,10.0,1,39,1,3.90,2,1,v New Zealand,Manchester
58,7.0,0,50,0,7.14,2,2,v Australia,Mumbai
59,9.1,2,32,1,3.49,1,2,v Australia,Rajkot
60,10.0,0,38,0,3.80,1,1,v Australia,Bengaluru
61,10.0,1,53,0,5.30,1,2,v New Zealand,Hamilton
62,10.0,0,64,0,6.40,2,1,v New Zealand,Auckland
63,10.0,0,50,0,5.00,1,2,v New Zealand,Mount Maunganui
