,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,100*,176,115,7,1,86.95,1,not out,2,v Zimbabwe,Harare
1,33,66,50,4,0,66.00,1,bowled,2,v Zimbabwe,Harare
2,63*,99,70,4,2,90.00,1,not out,2,v Zimbabwe,Harare
3,8,28,18,1,0,44.44,1,bowled,2,v England,Pune
4,5,11,5,1,0,100.00,1,caught,1,v England,Cuttack
5,11,28,11,1,1,100.00,2,caught,2,v England,Kolkata
6,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla
7,4,-,6,0,0,66.66,3,bowled,2,v Sri Lanka,Pallekele
8,17,-,24,2,0,70.83,4,caught,2,v Sri Lanka,Pallekele
9,7,-,8,0,0,87.50,5,caught,1,v Sri Lanka,Colombo (RPS)
10,9*,-,18,0,0,50.00,4,not out,2,v England,Nottingham
11,0,-,2,0,0,0.00,4,caught,2,v England,Lord's
12,60,-,66,5,1,90.90,1,lbw,2,v Afghanistan,Dubai (DSC)
13,26,-,31,1,0,83.87,3,caught,1,v Australia,Mohali
14,26,71,42,2,0,61.90,4,caught,2,v South Africa,Southampton
15,11*,6,3,1,1,366.66,6,not out,1,v Australia,The Oval
16,57,94,78,3,2,73.07,1,caught,1,v Pakistan,Manchester
17,30,56,53,2,0,56.60,1,caught,1,v Afghanistan,Southampton
18,48,91,64,6,0,75.00,1,bowled,1,v West Indies,Manchester
19,0,10,9,0,0,0.00,1,caught,2,v England,Birmingham
20,77,135,92,6,1,83.69,1,caught,1,v Bangladesh,Birmingham
21,111,180,118,11,1,94.06,1,caught,2,v Sri Lanka,Leeds
22,1,18,7,0,0,14.28,1,caught,2,v New Zealand,Manchester
23,6,-,15,1,0,40.00,2,caught,1,v West Indies,Chennai
24,102,-,104,8,3,98.07,2,caught,1,v West Indies,Visakhapatnam
25,77,-,89,8,1,86.51,2,caught,2,v West Indies,Cuttack
26,47,-,61,4,0,77.04,3,caught,1,v Australia,Mumbai
27,80,-,52,6,3,153.84,5,run out,1,v Australia,Rajkot
28,19,-,27,2,0,70.37,2,lbw,2,v Australia,Bengaluru
29,88*,102,64,3,6,137.50,5,not out,1,v New Zealand,Hamilton
30,4,17,8,0,0,50.00,5,bowled,2,v New Zealand,Auckland
31,112,150,113,9,2,99.11,5,caught,1,v New Zealand,Mount Maunganui
