,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,20,28,24,3,0,83.33,6,bowled,2,v Sri Lanka,Ranchi
1,5,11,13,1,0,38.46,6,caught,1,v Zimbabwe,Harare
2,16,19,13,1,0,123.07,7,caught,1,v Zimbabwe,Harare
3,105*,110,87,12,1,120.68,6,not out,1,v Zimbabwe,Harare
4,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
5,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
6,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
7,10*,17,12,2,0,83.33,6,not out,2,v New Zealand,Dharamsala
8,41,47,37,2,2,110.81,6,caught,2,v New Zealand,Delhi
9,DNB,-,-,-,-,-,-,-,2,v New Zealand,Mohali
10,0,2,1,0,0,0.00,7,lbw,2,v New Zealand,Ranchi
11,39*,52,37,2,1,105.40,6,not out,1,v New Zealand,Visakhapatnam
12,120,125,76,12,4,157.89,6,caught,2,v England,Pune
13,22,15,10,3,1,220.00,6,caught,1,v England,Cuttack
14,90,118,75,12,1,120.00,6,caught,2,v England,Kolkata
15,DNB,-,-,-,-,-,-,-,1,v Pakistan,Birmingham
16,25*,19,13,3,1,192.30,7,not out,1,v Sri Lanka,The Oval
17,DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval
18,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Birmingham
19,9,18,13,2,0,69.23,6,caught,2,v Pakistan,The Oval
20,DNB,-,-,-,-,-,-,-,1,v West Indies,Port of Spain
21,13*,-,6,2,0,216.66,7,not out,1,v West Indies,Port of Spain
22,40*,-,26,4,1,153.84,6,not out,1,v West Indies,North Sound
23,10,-,14,0,0,71.42,6,caught,2,v West Indies,North Sound
24,DNB,-,-,-,-,-,-,-,2,v West Indies,Kingston
25,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla
26,1,-,3,0,0,33.33,4,bowled,2,v Sri Lanka,Pallekele
27,0,-,2,0,0,0.00,5,lbw,2,v Sri Lanka,Pallekele
28,63,-,73,7,0,86.30,5,caught,2,v Sri Lanka,Colombo (RPS)
29,40,72,54,5,0,74.07,5,caught,1,v Australia,Chennai
30,24,36,24,2,1,100.00,5,caught,1,v Australia,Kolkata
31,2,3,4,0,0,50.00,5,caught,2,v Australia,Indore
32,67,95,69,7,1,97.10,5,caught,2,v Australia,Bengaluru
33,5*,14,8,1,0,62.50,4,not out,2,v Australia,Nagpur
34,12,41,25,1,0,48.00,4,caught,1,v New Zealand,Mumbai
35,DNB,-,-,-,-,-,-,-,2,v New Zealand,Pune
36,18,16,10,1,1,180.00,6,caught,1,v New Zealand,Kanpur
37,DNB,-,-,-,-,-,-,-,2,v South Africa,Durban
38,DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion
39,1,6,3,0,0,33.33,7,caught,1,v South Africa,Cape Town
40,28*,-,27,0,1,103.70,6,not out,1,v Hong Kong,Dubai (DSC)
41,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC)
42,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dubai (DSC)
43,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC)
44,19,-,26,2,0,73.07,6,run out,2,v Afghanistan,Dubai (DSC)
45,23*,-,27,1,1,85.18,6,not out,2,v Bangladesh,Dubai (DSC)
46,16*,-,7,3,0,228.57,6,not out,1,v West Indies,Mumbai (BS)
47,DNB,-,-,-,-,-,-,-,2,v West Indies,Thiruvananthapuram
48,61*,-,57,7,0,107.01,5,not out,2,v Australia,Melbourne
49,DNB,-,-,-,-,-,-,-,2,v New Zealand,Napier
50,22*,19,10,3,1,220.00,6,not out,1,v New Zealand,Mount Maunganui
51,DNB,-,-,-,-,-,-,-,2,v New Zealand,Mount Maunganui
52,1,13,7,0,0,14.28,6,lbw,1,v New Zealand,Hamilton
53,34,55,45,3,0,75.55,7,bowled,1,v New Zealand,Wellington
54,81*,-,87,9,1,93.10,6,not out,2,v Australia,Hyderabad (Deccan)
55,11,-,12,1,0,91.66,6,caught,1,v Australia,Nagpur
56,26,-,39,3,0,66.66,6,lbw,2,v Australia,Ranchi
57,10,-,12,0,0,83.33,6,caught,1,v Australia,Mohali
58,44,-,57,4,1,77.19,6,caught,2,v Australia,Delhi
59,DNB,-,-,-,-,-,-,-,2,v South Africa,Southampton
60,0*,2,0,0,0,-,7,not out,1,v Australia,The Oval
61,9*,13,8,1,0,112.50,7,not out,1,v Pakistan,Manchester
62,52,88,68,3,1,76.47,6,caught,1,v Afghanistan,Southampton
63,7,13,10,1,0,70.00,5,caught,1,v West Indies,Manchester
64,12*,24,13,1,0,92.30,7,not out,2,v England,Birmingham
65,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence
66,16,27,14,2,0,114.28,6,run out,1,v West Indies,Port of Spain
67,19*,20,12,1,1,158.33,6,not out,2,v West Indies,Port of Spain
68,40,-,35,3,1,114.28,6,caught,1,v West Indies,Chennai
69,16*,-,10,3,0,160.00,6,not out,1,v West Indies,Visakhapatnam
70,9,-,10,1,0,90.00,6,bowled,2,v West Indies,Cuttack
71,26*,26,15,3,1,173.33,6,not out,1,v New Zealand,Hamilton
72,9,33,27,1,0,33.33,6,caught,2,v New Zealand,Auckland
