,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,DNB,-,-,-,-,-,1,v Sri Lanka,Ranchi
1,DNB,-,-,-,-,-,2,v Zimbabwe,Harare
2,DNB,-,-,-,-,-,2,v Zimbabwe,Harare
3,DNB,-,-,-,-,-,2,v Zimbabwe,Harare
4,DNB,-,-,-,-,-,1,v Zimbabwe,Harare
5,DNB,-,-,-,-,-,1,v Zimbabwe,Harare
6,DNB,-,-,-,-,-,1,v Zimbabwe,Harare
7,3.0,0,6,2,2.00,4,1,v New Zealand,Dharamsala
8,2.0,0,11,1,5.50,6,1,v New Zealand,Delhi
9,5.0,0,29,3,5.80,4,1,v New Zealand,Mohali
10,8.0,0,27,0,3.37,6,1,v New Zealand,Ranchi
11,DNB,-,-,-,-,-,2,v New Zealand,Visakhapatnam
12,4.0,0,23,0,5.75,6,1,v England,Pune
13,5.0,0,45,0,9.00,6,2,v England,Cuttack
14,DNB,-,-,-,-,-,1,v England,Kolkata
15,DNB,-,-,-,-,-,2,v Pakistan,Birmingham
16,3.0,0,18,0,6.00,6,2,v Sri Lanka,The Oval
17,DNB,-,-,-,-,-,1,v South Africa,The Oval
18,6.0,0,22,2,3.66,6,1,v Bangladesh,Birmingham
19,3.0,0,27,1,9.00,6,1,v Pakistan,The Oval
20,TDNB,-,-,-,-,-,-,v West Indies,Port of Spain
21,DNB,-,-,-,-,-,2,v West Indies,Port of Spain
22,0.1,0,0,1,0.00,6,2,v West Indies,North Sound
23,DNB,-,-,-,-,-,1,v West Indies,North Sound
24,4.0,0,13,1,3.25,6,1,v West Indies,Kingston
25,5.0,0,26,2,5.20,5,1,v Sri Lanka,Dambulla
26,4.4,0,32,0,6.85,6,1,v Sri Lanka,Pallekele
27,3.0,0,12,1,4.00,6,1,v Sri Lanka,Pallekele
28,4.0,0,20,0,5.00,5,1,v Sri Lanka,Colombo (RPS)
29,DNB,-,-,-,-,-,2,v Australia,Chennai
30,DNB,-,-,-,-,-,2,v Australia,Kolkata
31,DNB,-,-,-,-,-,1,v Australia,Indore
32,7.0,0,38,1,5.42,6,1,v Australia,Bengaluru
33,10.0,0,48,1,4.80,5,1,v Australia,Nagpur
34,DNB,-,-,-,-,-,2,v New Zealand,Mumbai
35,8.0,0,31,0,3.87,3,1,v New Zealand,Pune
36,8.0,0,54,0,6.75,5,2,v New Zealand,Kanpur
37,3.0,0,19,0,6.33,6,1,v South Africa,Durban
38,3.0,0,11,0,3.66,6,1,v South Africa,Centurion
39,DNB,-,-,-,-,-,2,v South Africa,Cape Town
40,7.0,0,28,0,4.00,6,2,v Hong Kong,Dubai (DSC)
41,9.0,1,23,3,2.55,7,1,v Pakistan,Dubai (DSC)
42,DNB,-,-,-,-,-,1,v Bangladesh,Dubai (DSC)
43,3.0,0,20,0,6.66,6,1,v Pakistan,Dubai (DSC)
44,7.0,0,27,1,3.85,6,1,v Afghanistan,Dubai (DSC)
45,9.0,0,41,2,4.55,6,1,v Bangladesh,Dubai (DSC)
46,DNB,-,-,-,-,-,2,v West Indies,Mumbai (BS)
47,DNB,-,-,-,-,-,1,v West Indies,Thiruvananthapuram
48,6.0,0,35,0,5.83,4,1,v Australia,Melbourne
49,3.0,0,17,1,5.66,6,1,v New Zealand,Napier
50,6.0,0,35,1,5.83,5,2,v New Zealand,Mount Maunganui
51,3.0,0,17,0,5.66,6,1,v New Zealand,Mount Maunganui
52,DNB,-,-,-,-,-,2,v New Zealand,Hamilton
53,7.0,0,34,1,4.85,6,2,v New Zealand,Wellington
54,7.0,0,31,1,4.42,6,1,v Australia,Hyderabad (Deccan)
55,8.0,0,33,1,4.12,6,2,v Australia,Nagpur
56,2.0,0,32,0,16.00,6,1,v Australia,Ranchi
57,5.0,0,44,0,8.80,5,2,v Australia,Mohali
58,1.0,0,8,0,8.00,6,1,v Australia,Delhi
59,4.0,0,16,0,4.00,6,1,v South Africa,Southampton
60,1.0,0,14,0,14.00,6,2,v Australia,The Oval
61,DNB,-,-,-,-,-,2,v Pakistan,Manchester
62,DNB,-,-,-,-,-,2,v Afghanistan,Southampton
63,1.0,0,4,0,4.00,5,2,v West Indies,Manchester
64,DNB,-,-,-,-,-,1,v England,Birmingham
65,DNB,-,-,-,-,-,1,v West Indies,Providence
66,5.0,0,25,0,5.00,5,2,v West Indies,Port of Spain
67,4.0,0,13,0,3.25,5,1,v West Indies,Port of Spain
68,1.0,0,11,0,11.00,5,2,v West Indies,Chennai
69,DNB,-,-,-,-,-,2,v West Indies,Visakhapatnam
70,DNB,-,-,-,-,-,1,v West Indies,Cuttack
71,DNB,-,-,-,-,-,2,v New Zealand,Hamilton
72,DNB,-,-,-,-,-,1,v New Zealand,Auckland
