,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,TDNB,-,-,-,-,-,-,v West Indies,Port of Spain
1,9.0,0,50,3,5.55,5,2,v West Indies,Port of Spain
2,10.0,1,41,3,4.10,4,2,v West Indies,North Sound
3,10.0,1,31,2,3.10,5,1,v West Indies,North Sound
4,10.0,0,36,0,3.60,5,1,v West Indies,Kingston
5,8.4,1,31,2,3.57,5,2,v Sri Lanka,Colombo (RPS)
6,10.0,0,40,1,4.00,4,1,v Sri Lanka,Colombo (RPS)
7,4.0,0,33,2,8.25,4,2,v Australia,Chennai
8,10.0,1,54,3,5.40,5,2,v Australia,Kolkata
9,10.0,0,75,2,7.50,5,1,v Australia,Indore
10,10.0,1,48,0,4.80,4,1,v Australia,Nagpur
11,10.0,0,64,1,6.40,3,2,v New Zealand,Mumbai
12,DNB,-,-,-,-,-,2,v Sri Lanka,Dharamsala
13,10.0,0,42,3,4.20,4,1,v Sri Lanka,Visakhapatnam
14,10.0,0,34,3,3.40,5,1,v South Africa,Durban
15,6.0,0,20,3,3.33,5,1,v South Africa,Centurion
16,9.0,1,23,4,2.55,5,2,v South Africa,Cape Town
17,6.0,0,51,2,8.50,3,2,v South Africa,Johannesburg
18,10.0,0,57,4,5.70,4,2,v South Africa,Port Elizabeth
19,10.0,0,51,1,5.10,4,1,v South Africa,Centurion
20,10.0,0,25,6,2.50,5,1,v England,Nottingham
21,10.0,0,68,3,6.80,5,1,v England,Lord's
22,10.0,0,55,0,5.50,5,2,v England,Leeds
23,10.0,2,42,2,4.20,5,2,v Hong Kong,Dubai (DSC)
24,8.0,0,37,1,4.62,5,1,v Pakistan,Dubai (DSC)
25,10.0,0,34,0,3.40,5,1,v Bangladesh,Dubai (DSC)
26,10.0,0,41,2,4.10,4,1,v Pakistan,Dubai (DSC)
27,10.0,0,38,2,3.80,5,1,v Afghanistan,Dubai (DSC)
28,10.0,0,45,3,4.50,4,1,v Bangladesh,Dubai (DSC)
29,10.0,0,67,3,6.70,3,2,v West Indies,Visakhapatnam
30,10.0,0,52,2,5.20,5,1,v West Indies,Pune
31,8.2,0,42,3,5.04,5,2,v West Indies,Mumbai (BS)
32,5.0,1,18,1,3.60,5,1,v West Indies,Thiruvananthapuram
33,10.0,0,54,2,5.40,4,1,v Australia,Sydney
34,10.0,0,66,0,6.60,4,1,v Australia,Adelaide
35,10.0,1,39,4,3.90,5,1,v New Zealand,Napier
36,10.0,0,45,4,4.50,6,2,v New Zealand,Mount Maunganui
37,8.0,0,39,0,4.87,5,1,v New Zealand,Mount Maunganui
38,1.0,0,2,0,2.00,5,2,v New Zealand,Hamilton
39,10.0,0,46,2,4.60,4,1,v Australia,Hyderabad (Deccan)
40,10.0,0,54,3,5.40,5,2,v Australia,Nagpur
41,10.0,0,64,3,6.40,4,1,v Australia,Ranchi
42,10.0,0,64,1,6.40,4,2,v Australia,Mohali
43,10.0,0,74,1,7.40,4,1,v Australia,Delhi
44,10.0,0,46,1,4.60,4,1,v South Africa,Southampton
45,9.0,0,55,0,6.11,4,2,v Australia,The Oval
46,9.0,1,32,2,3.55,5,2,v Pakistan,Manchester
47,10.0,0,39,0,3.90,5,2,v Afghanistan,Southampton
48,9.0,1,35,1,3.88,4,2,v West Indies,Manchester
49,10.0,0,72,1,7.20,5,1,v England,Birmingham
50,10.0,0,58,1,5.80,5,1,v Sri Lanka,Leeds
51,2.0,0,3,1,1.50,4,1,v West Indies,Providence
52,10.0,0,59,2,5.90,4,2,v West Indies,Port of Spain
53,10.0,0,45,0,4.50,3,2,v West Indies,Chennai
54,10.0,0,52,3,5.20,5,2,v West Indies,Visakhapatnam
55,10.0,0,67,0,6.70,4,1,v West Indies,Cuttack
56,10.0,0,55,0,5.50,4,2,v Australia,Mumbai
57,10.0,0,65,2,6.50,5,2,v Australia,Rajkot
58,10.0,0,62,1,6.20,4,1,v Australia,Bengaluru
59,10.0,0,84,2,8.40,5,2,v New Zealand,Hamilton
