,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,0,1,1,0,0,0.00,7,run out,1,v Bangladesh,Chattogram
1,12,16,11,2,0,109.09,7,caught,2,v Bangladesh,Dhaka
2,7*,2,2,0,1,350.00,7,not out,1,v Bangladesh,Dhaka
3,3,8,7,0,0,42.85,7,caught,1,v Pakistan,Kochi
4,148,155,123,15,4,120.32,3,caught,1,v Pakistan,Visakhapatnam
5,28,36,24,5,0,116.66,3,caught,2,v Pakistan,Jamshedpur
6,47,90,64,4,1,73.43,3,caught,1,v Pakistan,Ahmedabad
7,11,20,16,1,0,68.75,3,caught,1,v Pakistan,Kanpur
8,24,71,38,2,0,63.15,3,caught,2,v Pakistan,Delhi
9,2,17,7,0,0,28.57,2,bowled,1,v Sri Lanka,Dambulla
10,15*,22,11,1,1,136.36,6,not out,2,v West Indies,Dambulla
11,20,35,27,1,0,74.07,4,caught,1,v Sri Lanka,Dambulla
12,28*,17,13,1,2,215.38,7,not out,1,v West Indies,Colombo (RPS)
13,7,11,11,0,0,63.63,6,lbw,2,v Sri Lanka,Colombo (RPS)
14,2,13,5,0,0,40.00,7,caught,2,v New Zealand,Bulawayo
15,56,-,46,2,4,121.73,6,caught,1,v Zimbabwe,Harare
16,37*,-,27,3,2,137.03,6,not out,2,v New Zealand,Harare
17,67*,90,63,1,3,106.34,7,not out,2,v Zimbabwe,Harare
18,11,26,16,1,0,68.75,7,lbw,1,v New Zealand,Harare
19,38,33,28,3,2,135.71,6,caught,1,v Sri Lanka,Nagpur
20,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Mohali
21,183*,210,145,15,10,126.20,3,not out,2,v Sri Lanka,Jaipur
22,45*,65,43,1,2,104.65,6,not out,2,v Sri Lanka,Pune
23,0,1,1,0,0,0.00,3,lbw,1,v Sri Lanka,Ahmedabad
24,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Rajkot
25,80,106,73,9,3,109.58,4,caught,2,v Sri Lanka,Vadodara
26,17,39,28,1,0,60.71,8,run out,1,v South Africa,Hyderabad (Deccan)
27,DNB,-,-,-,-,-,-,-,2,v South Africa,Bengaluru
28,14,41,26,0,0,53.84,8,caught,1,v South Africa,Kolkata
29,12,37,26,1,0,46.15,6,caught,2,v South Africa,Mumbai
30,68,68,53,11,1,128.30,4,caught,1,v Pakistan,Peshawar
31,DNB,-,-,-,-,-,-,-,2,v Pakistan,Rawalpindi
32,72*,60,46,13,0,156.52,7,not out,2,v Pakistan,Lahore
33,2*,23,5,0,0,40.00,7,not out,2,v Pakistan,Multan
34,77*,88,56,6,4,137.50,4,not out,2,v Pakistan,Karachi
35,20,55,28,2,0,71.42,8,caught,1,v England,Delhi
36,38,99,55,2,0,69.09,7,bowled,2,v England,Faridabad
37,13*,11,6,1,1,216.66,7,not out,1,v England,Margao
38,10*,20,13,1,0,76.92,7,not out,2,v England,Kochi
39,96,174,106,10,3,90.56,2,caught,1,v England,Jamshedpur
40,3,11,10,0,0,30.00,7,bowled,1,v Pakistan,Abu Dhabi
41,59,80,72,5,0,81.94,3,bowled,1,v Pakistan,Abu Dhabi
42,18,19,11,2,1,163.63,6,caught,2,v West Indies,Kingston
43,2,9,7,0,0,28.57,7,bowled,2,v West Indies,Kingston
44,15,-,26,1,0,57.69,5,run out,1,v West Indies,Basseterre
45,46*,-,58,6,0,79.31,6,not out,1,v West Indies,Port of Spain
46,14,-,19,2,0,73.68,3,bowled,2,v West Indies,Port of Spain
47,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Colombo (SSC)
48,2,7,10,0,0,20.00,5,bowled,1,v West Indies,Kuala Lumpur
49,DNB,-,-,-,-,-,-,-,2,v Australia,Kuala Lumpur
50,18,20,13,4,0,138.46,6,bowled,1,v West Indies,Kuala Lumpur
51,23,34,34,0,1,67.64,7,caught,2,v Australia,Kuala Lumpur
52,7,37,22,0,0,31.81,6,caught,2,v England,Jaipur
53,51,82,65,1,2,78.46,6,run out,1,v West Indies,Ahmedabad
54,28,44,23,2,0,121.73,6,lbw,1,v Australia,Mohali
55,14,32,27,3,0,51.85,5,caught,2,v South Africa,Durban
56,55,61,48,3,4,114.58,6,caught,2,v South Africa,Cape Town
57,26,36,21,4,1,123.80,6,caught,2,v South Africa,Port Elizabeth
58,44,75,49,2,2,89.79,5,caught,1,v South Africa,Centurion
59,62*,56,42,3,4,147.61,4,not out,1,v West Indies,Nagpur
60,6,26,19,0,0,31.57,6,caught,1,v West Indies,Cuttack
61,40*,31,20,1,3,200.00,5,not out,1,v West Indies,Vadodara
62,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kolkata
63,48,95,68,1,0,70.58,6,caught,2,v Sri Lanka,Rajkot
64,67*,91,74,4,0,90.54,6,not out,2,v Sri Lanka,Margao
65,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Visakhapatnam
66,0,5,3,0,0,0.00,7,caught,1,v Bangladesh,Port of Spain
67,29,34,25,2,1,116.00,4,caught,1,v Bermuda,Port of Spain
68,0,3,1,0,0,0.00,7,lbw,2,v Sri Lanka,Port of Spain
69,91*,182,106,7,0,85.84,3,not out,2,v Bangladesh,Dhaka
70,36,73,54,4,0,66.66,3,caught,1,v Bangladesh,Dhaka
71,2,13,4,0,0,50.00,7,run out,1,v Africa XI,Bengaluru
72,33,56,38,2,2,86.84,4,bowled,1,v Africa XI,Chennai
73,139*,144,97,15,5,143.29,7,not out,1,v Africa XI,Chennai
74,0,3,4,0,0,0.00,5,bowled,2,v South Africa,Belfast
75,14*,27,11,2,0,127.27,6,not out,2,v South Africa,Belfast
76,DNB,-,-,-,-,-,-,-,2,v Scotland,Glasgow
77,19,76,60,1,0,31.66,6,caught,2,v England,Southampton
78,21,31,18,3,0,116.66,5,caught,1,v England,Bristol
79,13,30,20,0,0,65.00,6,caught,2,v England,Birmingham
80,13,33,18,1,0,72.22,6,bowled,1,v England,Manchester
81,24,60,17,3,0,141.17,5,caught,1,v England,Leeds
82,35,50,37,3,0,94.59,6,bowled,2,v England,The Oval
83,50,98,72,4,1,69.44,7,caught,1,v England,Lord's
84,DNB,-,-,-,-,-,-,-,2,v Australia,Bengaluru
85,58,134,88,2,2,65.90,6,caught,2,v Australia,Kochi
86,33,49,37,4,0,89.18,6,caught,2,v Australia,Hyderabad (Deccan)
87,50*,59,35,5,1,142.85,4,not out,1,v Australia,Chandigarh
88,4,12,7,1,0,57.14,6,caught,1,v Australia,Vadodara
89,26,44,29,2,1,89.65,6,caught,2,v Australia,Nagpur
90,5,22,11,1,0,45.45,6,caught,2,v Australia,Mumbai
91,63,106,77,8,0,81.81,4,caught,2,v Pakistan,Guwahati
92,4,24,10,0,0,40.00,6,caught,1,v Pakistan,Mohali
93,49,61,52,4,2,94.23,5,bowled,1,v Pakistan,Kanpur
