,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,19,23,19,1,1,100.00,4,caught,1,v Zimbabwe,Harare
1,0,-,3,0,0,0.00,4,lbw,2,v Zimbabwe,Harare
2,DNB,-,-,-,-,-,-,-,1,v West Indies,Mumbai
3,48,-,35,1,3,137.14,4,caught,2,v Zimbabwe,Harare
4,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
5,0,2,1,0,0,0.00,4,run out,1,v Zimbabwe,Harare
6,3,4,5,0,0,60.00,6,lbw,1,v England,Kanpur
7,30,38,26,0,1,115.38,5,bowled,1,v England,Nagpur
8,51*,-,36,4,1,141.66,4,not out,2,v Sri Lanka,Colombo (RPS)
9,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi
10,6,7,7,1,0,85.71,4,caught,1,v Australia,Guwahati
11,17,16,11,1,1,154.54,5,caught,1,v New Zealand,Thiruvananthapuram
12,32*,30,18,2,2,177.77,5,not out,1,v Sri Lanka,Cuttack
13,1*,4,1,0,0,100.00,6,not out,1,v Sri Lanka,Indore
14,32,48,29,4,0,110.34,4,bowled,2,v Sri Lanka,Mumbai
15,29*,51,27,0,1,107.40,5,not out,1,v South Africa,Johannesburg
16,79*,66,48,6,3,164.58,5,not out,1,v South Africa,Centurion
17,13,15,10,0,1,130.00,4,caught,1,v South Africa,Cape Town
18,37,-,35,3,1,105.71,4,caught,1,v Sri Lanka,Colombo (RPS)
19,27*,-,19,3,0,142.10,5,not out,2,v Bangladesh,Colombo (RPS)
20,42*,-,31,3,1,135.48,5,not out,2,v Sri Lanka,Colombo (RPS)
21,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Colombo (RPS)
22,28,-,27,3,0,103.70,5,caught,2,v Bangladesh,Colombo (RPS)
23,0*,1,0,0,0,-,7,not out,1,v Ireland,Dublin (Malahide)
24,21*,-,20,1,0,105.00,5,not out,1,v Ireland,Dublin (Malahide)
25,19,-,24,2,0,79.16,5,caught,2,v West Indies,Kolkata
26,DNB,-,-,-,-,-,-,-,1,v West Indies,Lucknow
27,4*,-,6,0,0,66.66,5,not out,2,v West Indies,Chennai
28,19,-,14,2,0,135.71,5,bowled,2,v West Indies,Lauderhill
29,6,-,8,0,0,75.00,5,caught,1,v West Indies,Lauderhill
30,2*,-,5,0,0,40.00,5,not out,2,v West Indies,Providence
31,22*,-,13,3,0,169.23,6,not out,1,v Bangladesh,Nagpur
32,31*,-,18,4,0,172.22,4,not out,1,v Sri Lanka,Pune
33,14*,-,12,0,1,116.66,6,not out,2,v New Zealand,Auckland
34,DNB,-,-,-,-,-,-,-,2,v New Zealand,Auckland
35,14*,15,6,1,1,233.33,6,not out,1,v New Zealand,Hamilton
36,50*,53,36,3,0,138.88,6,not out,1,v New Zealand,Wellington
37,11*,-,4,1,1,275.00,6,not out,1,v New Zealand,Mount Maunganui
