,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,38,70,32,4,1,118.75,8,caught,1,v Sri Lanka,Harare
1,DNB,-,-,-,-,-,-,-,2,v Australia,Visakhapatnam
2,0,3,2,0,0,0.00,8,caught,1,v New Zealand,Guwahati
3,DNB,-,-,-,-,-,-,-,2,v New Zealand,Jaipur
4,DNB,-,-,-,-,-,-,-,2,v New Zealand,Vadodara
5,DNB,-,-,-,-,-,-,-,2,v New Zealand,Bengaluru
6,DNB,-,-,-,-,-,-,-,2,v New Zealand,Chennai
7,10*,14,7,1,0,142.85,9,not out,1,v West Indies,Chennai
8,DNB,-,-,-,-,-,-,-,2,v Australia,Ahmedabad
9,15,43,27,0,0,55.55,8,caught,2,v West Indies,North Sound
10,8*,24,7,1,0,114.28,8,not out,1,v West Indies,Kingston
11,0,1,1,0,0,0.00,9,bowled,1,v England,Chester-le-Street
12,1,4,1,0,0,100.00,8,run out,1,v England,Southampton
13,36*,32,19,5,0,189.47,8,not out,1,v England,The Oval
14,DNB,-,-,-,-,-,-,-,1,v England,Lord's
15,0*,5,0,0,0,-,8,not out,1,v England,Cardiff
16,8,11,6,1,0,133.33,8,run out,1,v England,Hyderabad (Deccan)
17,DNB,-,-,-,-,-,-,-,2,v England,Delhi
18,DNB,-,-,-,-,-,-,-,2,v England,Mohali
19,DNB,-,-,-,-,-,-,-,2,v England,Mumbai
20,7,8,10,0,0,70.00,8,caught,1,v England,Kolkata
21,6,17,10,0,0,60.00,8,run out,2,v West Indies,Cuttack
22,DNB,-,-,-,-,-,-,-,2,v West Indies,Visakhapatnam
23,31,74,64,1,0,48.43,8,lbw,2,v West Indies,Ahmedabad
24,DNB,-,-,-,-,-,-,-,1,v West Indies,Indore
25,5,4,3,0,0,166.66,8,run out,2,v Australia,Melbourne
26,30*,45,38,3,0,78.94,8,not out,2,v Sri Lanka,Perth
27,1*,8,2,0,0,50.00,8,not out,2,v Australia,Adelaide
28,14,21,13,1,0,107.69,8,caught,2,v Sri Lanka,Adelaide
29,5,11,6,0,0,83.33,9,caught,2,v Sri Lanka,Brisbane
30,26,47,37,2,0,70.27,8,caught,2,v Australia,Sydney
31,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hobart
32,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Dhaka
33,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Dhaka
34,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dhaka
35,0*,3,0,0,0,-,8,not out,1,v Sri Lanka,Hambantota
36,21,19,15,3,0,140.00,8,run out,1,v Sri Lanka,Hambantota
37,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS)
38,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS)
39,2*,5,5,0,0,40.00,9,not out,1,v Sri Lanka,Pallekele
40,31*,78,39,2,0,79.48,8,not out,1,v Pakistan,Chennai
41,3,15,22,0,0,13.63,7,stumped,2,v Pakistan,Kolkata
42,0,2,1,0,0,0.00,7,lbw,1,v Pakistan,Delhi
43,13,17,8,2,0,162.50,8,caught,2,v England,Rajkot
44,1*,4,1,0,0,100.00,8,not out,1,v England,Kochi
45,DNB,-,-,-,-,-,-,-,2,v England,Ranchi
46,DNB,-,-,-,-,-,-,-,2,v England,Mohali
47,19,32,21,1,1,90.47,8,caught,1,v England,Dharamsala
48,10,15,10,1,0,100.00,8,run out,1,v South Africa,Cardiff
49,DNB,-,-,-,-,-,-,-,2,v West Indies,The Oval
50,DNB,-,-,-,-,-,-,-,2,v Pakistan,Birmingham
51,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cardiff
52,1,5,1,0,0,100.00,8,run out,1,v England,Birmingham
53,5*,18,11,0,0,45.45,8,not out,1,v West Indies,Kingston
54,4,17,13,0,0,30.76,8,caught,2,v Sri Lanka,Kingston
55,25*,34,18,3,0,138.88,8,not out,1,v West Indies,Port of Spain
56,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Port of Spain
57,0,1,1,0,0,0.00,8,lbw,2,v Sri Lanka,Port of Spain
58,5,11,10,0,0,50.00,8,caught,2,v Australia,Pune
59,DNB,-,-,-,-,-,-,-,2,v Australia,Jaipur
60,28,55,35,3,0,80.00,8,caught,1,v Australia,Mohali
61,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi
62,DNB,-,-,-,-,-,-,-,2,v Australia,Nagpur
63,DNB,-,-,-,-,-,-,-,1,v Australia,Bengaluru
64,DNB,-,-,-,-,-,-,-,2,v West Indies,Kochi
65,19,18,10,2,1,190.00,8,caught,1,v West Indies,Visakhapatnam
66,DNB,-,-,-,-,-,-,-,2,v West Indies,Kanpur
67,19,23,19,4,0,100.00,8,caught,2,v South Africa,Johannesburg
68,15,35,26,1,0,57.69,8,caught,2,v South Africa,Durban
69,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
70,12,20,10,0,1,120.00,8,caught,2,v New Zealand,Napier
71,5,7,4,1,0,125.00,8,caught,2,v New Zealand,Hamilton
72,65,78,46,8,1,141.30,7,caught,2,v New Zealand,Auckland
73,5,3,3,1,0,166.66,6,caught,1,v New Zealand,Hamilton
74,7,15,11,1,0,63.63,7,bowled,2,v New Zealand,Wellington
75,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Fatullah
76,18,20,16,2,0,112.50,9,bowled,1,v Sri Lanka,Fatullah
77,9,9,7,2,0,128.57,8,stumped,1,v Pakistan,Dhaka
78,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Dhaka
79,10*,8,5,2,0,200.00,8,not out,1,v England,Cardiff
80,DNB,-,-,-,-,-,-,-,2,v England,Nottingham
81,DNB,-,-,-,-,-,-,-,2,v England,Birmingham
82,16,28,19,1,0,84.21,8,caught,2,v England,Leeds
83,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Cuttack
84,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Ahmedabad
85,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hyderabad (Deccan)
86,0,2,1,0,0,0.00,8,lbw,2,v Sri Lanka,Ranchi
87,14*,25,20,0,0,70.00,8,not out,1,v Australia,Melbourne
88,1*,4,1,0,0,100.00,8,not out,1,v Pakistan,Adelaide
89,5*,14,5,0,0,100.00,8,not out,1,v South Africa,Melbourne
90,DNB,-,-,-,-,-,-,-,2,v U.A.E.,Perth
91,16*,39,32,0,0,50.00,8,not out,2,v West Indies,Perth
92,DNB,-,-,-,-,-,-,-,2,v Ireland,Hamilton
93,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Auckland
94,3*,5,3,0,0,100.00,8,not out,1,v Bangladesh,Melbourne
95,5,19,13,0,0,38.46,8,bowled,2,v Australia,Sydney
96,0,1,1,0,0,0.00,8,caught,2,v Bangladesh,Dhaka
97,4,10,10,0,0,40.00,9,caught,1,v Bangladesh,Dhaka
98,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Dhaka
99,DNB,-,-,-,-,-,-,-,2,v South Africa,Kanpur
100,DNB,-,-,-,-,-,-,-,1,v Australia,Perth
101,1,4,2,0,0,50.00,8,caught,1,v Australia,Brisbane
102,15*,17,10,0,1,150.00,9,not out,2,v England,Pune
103,DNB,-,-,-,-,-,-,-,1,v England,Cuttack
104,1,5,3,0,0,33.33,9,caught,2,v England,Kolkata
105,DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval
106,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Birmingham
107,1,11,3,0,0,33.33,9,caught,2,v Pakistan,The Oval
108,DNB,-,-,-,-,-,-,-,1,v West Indies,Port of Spain
109,DNB,-,-,-,-,-,-,-,1,v West Indies,Port of Spain
110,DNB,-,-,-,-,-,-,-,1,v West Indies,North Sound
