,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,10.0,0,50,2,5.00,3,2,v Sri Lanka,Harare
1,9.0,0,34,1,3.77,4,1,v Australia,Visakhapatnam
2,10.0,1,50,3,5.00,3,2,v New Zealand,Guwahati
3,10.0,0,52,1,5.20,4,1,v New Zealand,Jaipur
4,9.0,1,49,2,5.44,4,1,v New Zealand,Vadodara
5,10.0,0,66,2,6.60,3,1,v New Zealand,Bengaluru
6,8.0,1,24,3,3.00,4,1,v New Zealand,Chennai
7,10.0,0,41,2,4.10,1,2,v West Indies,Chennai
8,10.0,0,52,2,5.20,1,1,v Australia,Ahmedabad
9,10.0,1,39,1,3.90,3,1,v West Indies,North Sound
10,10.0,1,50,0,5.00,4,2,v West Indies,Kingston
11,DNB,-,-,-,-,-,2,v England,Chester-le-Street
12,5.0,0,42,2,8.40,3,2,v England,Southampton
13,9.0,0,40,3,4.44,5,2,v England,The Oval
14,10.0,0,44,1,4.40,4,2,v England,Lord's
15,4.0,0,25,0,6.25,4,2,v England,Cardiff
16,8.1,0,35,3,4.28,5,2,v England,Hyderabad (Deccan)
17,10.0,0,56,1,5.60,5,1,v England,Delhi
18,10.0,0,45,0,4.50,5,1,v England,Mohali
19,10.0,0,38,3,3.80,3,1,v England,Mumbai
20,9.0,0,28,3,3.11,3,2,v England,Kolkata
21,10.0,1,30,1,3.00,4,1,v West Indies,Cuttack
22,10.0,0,74,1,7.40,5,1,v West Indies,Visakhapatnam
23,10.0,0,33,1,3.30,5,1,v West Indies,Ahmedabad
24,10.0,0,59,1,5.90,2,2,v West Indies,Indore
25,5.0,0,48,0,9.60,5,1,v Australia,Melbourne
26,10.0,1,32,3,3.20,5,1,v Sri Lanka,Perth
27,8.0,0,47,0,5.87,5,1,v Australia,Adelaide
28,10.0,1,30,2,3.00,4,1,v Sri Lanka,Adelaide
29,10.0,0,50,2,5.00,5,1,v Sri Lanka,Brisbane
30,10.0,0,45,0,4.50,3,1,v Australia,Sydney
31,10.0,0,52,0,5.20,5,1,v Sri Lanka,Hobart
32,9.0,0,39,3,4.33,6,2,v Sri Lanka,Dhaka
33,10.0,0,56,1,5.60,6,2,v Bangladesh,Dhaka
34,10.0,0,56,1,5.60,7,1,v Pakistan,Dhaka
35,10.0,1,46,2,4.60,4,2,v Sri Lanka,Hambantota
36,5.0,1,18,1,3.60,4,2,v Sri Lanka,Hambantota
37,10.0,0,50,0,5.00,5,1,v Sri Lanka,Colombo (RPS)
38,10.0,1,46,2,4.60,6,1,v Sri Lanka,Colombo (RPS)
39,9.0,0,37,0,4.11,5,2,v Sri Lanka,Pallekele
40,10.0,0,34,0,3.40,4,2,v Pakistan,Chennai
41,10.0,0,49,1,4.90,4,1,v Pakistan,Kolkata
42,10.0,1,47,2,4.70,4,2,v Pakistan,Delhi
43,9.0,0,61,0,6.77,4,1,v England,Rajkot
44,7.0,0,39,3,5.57,6,2,v England,Kochi
45,10.0,0,37,2,3.70,5,1,v England,Ranchi
46,10.0,0,63,2,6.30,4,1,v England,Mohali
47,10.0,0,50,0,5.00,4,2,v England,Dharamsala
48,10.0,0,47,0,4.70,4,2,v South Africa,Cardiff
49,9.0,2,36,1,4.00,4,1,v West Indies,The Oval
50,8.0,0,35,2,4.37,4,1,v Pakistan,Birmingham
51,10.0,1,48,3,4.80,6,1,v Sri Lanka,Cardiff
52,4.0,1,15,2,3.75,4,2,v England,Birmingham
53,10.0,0,44,2,4.40,5,2,v West Indies,Kingston
54,10.0,0,67,1,6.70,5,1,v Sri Lanka,Kingston
55,4.0,0,25,0,6.25,5,2,v West Indies,Port of Spain
56,5.0,0,20,1,4.00,5,2,v Sri Lanka,Port of Spain
57,10.0,0,42,2,4.20,6,1,v Sri Lanka,Port of Spain
58,10.0,0,55,2,5.50,4,1,v Australia,Pune
59,8.0,0,50,1,6.25,5,1,v Australia,Jaipur
60,9.0,0,58,0,6.44,6,2,v Australia,Mohali
61,9.0,0,57,2,6.33,4,1,v Australia,Ranchi
62,10.0,0,64,2,6.40,4,1,v Australia,Nagpur
63,10.0,0,51,2,5.10,4,2,v Australia,Bengaluru
64,9.5,0,42,2,4.27,6,1,v West Indies,Kochi
65,10.0,1,37,2,3.70,4,2,v West Indies,Visakhapatnam
66,10.0,0,45,2,4.50,4,1,v West Indies,Kanpur
67,10.0,0,58,0,5.80,4,1,v South Africa,Johannesburg
68,9.0,0,48,1,5.33,4,1,v South Africa,Durban
69,9.0,0,63,0,7.00,4,1,v South Africa,Centurion
70,10.0,0,52,0,5.20,5,1,v New Zealand,Napier
71,8.0,0,50,0,6.25,6,1,v New Zealand,Hamilton
72,10.0,0,47,1,4.70,5,1,v New Zealand,Auckland
73,10.0,0,41,0,4.10,5,2,v New Zealand,Hamilton
74,6.0,0,37,0,6.16,4,1,v New Zealand,Wellington
75,10.0,1,50,1,5.00,4,1,v Bangladesh,Fatullah
76,10.0,0,42,2,4.20,3,2,v Sri Lanka,Fatullah
77,9.4,0,44,3,4.55,3,2,v Pakistan,Dhaka
78,10.0,3,31,3,3.10,5,1,v Afghanistan,Dhaka
79,9.1,0,38,2,4.14,4,2,v England,Cardiff
80,10.0,0,39,3,3.90,4,1,v England,Nottingham
81,10.0,0,48,1,4.80,4,1,v England,Birmingham
82,10.0,2,49,1,4.90,4,1,v England,Leeds
83,9.0,0,52,1,5.77,5,2,v Sri Lanka,Cuttack
84,10.0,1,49,2,4.90,3,1,v Sri Lanka,Ahmedabad
85,10.0,0,43,1,4.30,5,1,v Sri Lanka,Hyderabad (Deccan)
86,10.0,1,56,2,5.60,4,1,v Sri Lanka,Ranchi
87,9.0,0,54,1,6.00,5,2,v Australia,Melbourne
88,8.0,3,41,1,5.12,5,2,v Pakistan,Adelaide
89,10.0,0,41,3,4.10,5,2,v South Africa,Melbourne
90,10.0,1,25,4,2.50,3,1,v U.A.E.,Perth
91,9.0,0,38,1,4.22,3,1,v West Indies,Perth
92,10.0,1,38,2,3.80,5,1,v Ireland,Hamilton
93,10.0,0,75,1,7.50,4,1,v Zimbabwe,Auckland
94,10.0,1,30,0,3.00,4,2,v Bangladesh,Melbourne
95,10.0,0,42,1,4.20,6,1,v Australia,Sydney
96,10.0,0,51,3,5.10,3,1,v Bangladesh,Dhaka
97,10.0,2,32,1,3.20,3,2,v Bangladesh,Dhaka
98,10.0,1,35,2,3.50,4,2,v Bangladesh,Dhaka
99,4.4,0,14,1,3.00,3,1,v South Africa,Kanpur
100,9.0,0,68,2,7.55,6,2,v Australia,Perth
101,10.0,0,60,0,6.00,5,2,v Australia,Brisbane
