,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,6.0,0,40,0,6.66,5,1,v Sri Lanka,Colombo (RPS)
1,7.0,1,34,0,4.85,4,2,v West Indies,Kingston
2,2.0,0,12,0,6.00,7,2,v West Indies,Kingston
3,9.0,0,39,1,4.33,5,1,v Australia,Vadodara
4,6.3,0,35,3,5.38,6,2,v Australia,Nagpur
5,9.0,1,41,2,4.55,4,1,v Australia,Delhi
6,7.0,0,27,0,3.85,4,1,v Australia,Mohali
7,5.0,0,44,0,8.80,4,1,v Australia,Hyderabad (Deccan)
8,10.0,1,36,0,3.60,4,2,v Australia,Guwahati
9,8.0,0,73,0,9.12,4,2,v Sri Lanka,Rajkot
10,9.1,0,42,0,4.58,5,2,v Sri Lanka,Nagpur
11,10.0,0,32,4,3.20,6,1,v Sri Lanka,Cuttack
12,9.0,1,51,0,5.66,5,1,v Sri Lanka,Kolkata
13,DNB,-,-,-,-,-,1,v Sri Lanka,Delhi
14,4.0,0,31,0,7.75,6,2,v Sri Lanka,Dhaka
15,9.0,0,45,1,5.00,6,1,v Bangladesh,Dhaka
16,6.0,1,21,0,3.50,5,1,v Sri Lanka,Dhaka
17,6.0,1,23,0,3.83,6,1,v Bangladesh,Dhaka
18,7.0,0,29,1,4.14,7,2,v Sri Lanka,Dhaka
19,10.0,2,29,2,2.90,4,2,v South Africa,Jaipur
20,8.5,0,41,2,4.64,4,2,v South Africa,Gwalior
21,10.0,0,53,1,5.30,4,1,v South Africa,Ahmedabad
22,10.0,0,51,1,5.10,5,2,v Zimbabwe,Bulawayo
23,10.0,1,49,2,4.90,5,1,v Sri Lanka,Bulawayo
24,7.0,0,27,2,3.85,5,2,v Zimbabwe,Harare
25,10.0,0,54,0,5.40,5,2,v Sri Lanka,Harare
26,8.0,0,27,1,3.37,5,1,v Bangladesh,Dambulla
27,10.0,0,43,1,4.30,6,1,v Pakistan,Dambulla
28,6.3,0,29,0,4.46,5,2,v Sri Lanka,Dambulla
29,6.4,0,29,2,4.35,6,2,v Sri Lanka,Dambulla
30,9.0,0,63,0,7.00,5,1,v New Zealand,Dambulla
31,10.0,2,34,2,3.40,5,1,v Sri Lanka,Dambulla
32,DNB,-,-,-,-,-,2,v Sri Lanka,Dambulla
33,3.0,0,21,1,7.00,5,2,v New Zealand,Dambulla
34,7.0,0,40,0,5.71,6,1,v New Zealand,Vadodara
35,9.0,0,42,2,4.66,4,2,v England,The Oval
36,9.0,0,60,1,6.66,5,2,v England,Lord's
