,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,60*,91,77,5,0,77.92,8,not out,2,v Sri Lanka,Colombo (RPS)
1,0,1,1,0,0,0.00,6,caught,1,v West Indies,Kingston
2,7,9,12,1,0,58.33,7,caught,1,v West Indies,Kingston
3,5,16,13,0,0,38.46,7,lbw,2,v Australia,Vadodara
4,DNB,-,-,-,-,-,-,-,1,v Australia,Nagpur
5,DNB,-,-,-,-,-,-,-,2,v Australia,Delhi
6,7,33,21,1,0,33.33,7,run out,2,v Australia,Mohali
7,23,24,17,3,0,135.29,8,run out,2,v Australia,Hyderabad (Deccan)
8,57,148,103,6,0,55.33,7,caught,1,v Australia,Guwahati
9,30*,28,17,1,2,176.47,8,not out,1,v Sri Lanka,Rajkot
10,12*,18,6,2,0,200.00,7,not out,1,v Sri Lanka,Nagpur
11,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cuttack
12,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Kolkata
13,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi
14,39,41,34,3,1,114.70,7,caught,1,v Sri Lanka,Dhaka
15,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dhaka
16,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dhaka
17,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dhaka
18,38,93,64,0,0,59.37,7,lbw,1,v Sri Lanka,Dhaka
19,22,-,20,1,0,110.00,8,caught,1,v South Africa,Jaipur
20,DNB,-,-,-,-,-,-,-,1,v South Africa,Gwalior
21,36,-,35,2,1,102.85,8,caught,2,v South Africa,Ahmedabad
22,61*,79,61,5,0,100.00,6,not out,1,v Zimbabwe,Bulawayo
23,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Bulawayo
24,51,100,72,3,2,70.83,6,caught,1,v Zimbabwe,Harare
25,19,77,26,0,1,73.07,7,run out,1,v Sri Lanka,Harare
26,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Dambulla
27,6,13,9,0,0,66.66,7,bowled,2,v Pakistan,Dambulla
28,0,1,1,0,0,0.00,7,lbw,1,v Sri Lanka,Dambulla
29,25*,48,27,1,0,92.59,7,not out,1,v Sri Lanka,Dambulla
30,20,60,44,2,0,45.45,7,caught,2,v New Zealand,Dambulla
31,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla
32,0,-,9,0,0,0.00,7,caught,1,v Sri Lanka,Dambulla
33,17,27,26,3,0,65.38,7,caught,1,v New Zealand,Dambulla
34,DNB,-,-,-,-,-,-,-,2,v New Zealand,Vadodara
35,78,132,89,10,0,87.64,7,caught,1,v England,The Oval
36,0*,1,0,0,0,-,7,not out,1,v England,Lord's
37,0,2,1,0,0,0.00,7,caught,1,v England,Cardiff
38,27,32,22,1,2,122.72,7,run out,1,v England,Hyderabad (Deccan)
39,DNB,-,-,-,-,-,-,-,2,v England,Delhi
40,26*,38,24,2,0,108.33,7,not out,2,v England,Mohali
41,DNB,-,-,-,-,-,-,-,2,v England,Mumbai
42,21,27,21,2,0,100.00,7,caught,1,v England,Kolkata
43,38,73,62,3,0,61.29,7,caught,2,v West Indies,Cuttack
44,9*,13,8,1,0,112.50,7,not out,2,v West Indies,Visakhapatnam
45,11,25,16,2,0,68.75,7,run out,2,v West Indies,Ahmedabad
46,10,14,10,0,0,100.00,4,caught,1,v West Indies,Indore
47,DNB,-,-,-,-,-,-,-,1,v West Indies,Chennai
48,19,34,25,0,0,76.00,7,caught,2,v Australia,Melbourne
49,24*,57,28,1,0,85.71,7,not out,2,v Sri Lanka,Perth
50,12,11,8,0,0,150.00,7,caught,2,v Australia,Adelaide
51,3,14,10,0,0,30.00,7,caught,2,v Sri Lanka,Adelaide
52,18,29,35,1,0,51.42,7,caught,2,v Australia,Brisbane
53,17,35,21,1,0,80.95,6,bowled,2,v Sri Lanka,Brisbane
54,8,30,17,1,0,47.05,7,caught,2,v Australia,Sydney
55,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hobart
56,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Dhaka
57,4*,8,2,0,0,200.00,7,not out,1,v Bangladesh,Dhaka
58,13,34,23,0,0,56.52,8,caught,2,v Pakistan,Kolkata
59,27,71,39,0,2,69.23,8,caught,1,v Pakistan,Delhi
60,7,17,9,0,0,77.77,7,bowled,2,v England,Rajkot
61,61*,60,37,8,2,164.86,7,not out,1,v England,Kochi
62,DNB,-,-,-,-,-,-,-,2,v England,Ranchi
63,21*,31,27,2,0,77.77,7,not out,2,v England,Mohali
64,39,65,65,1,2,60.00,7,caught,1,v England,Dharamsala
65,47*,37,29,7,1,162.06,7,not out,1,v South Africa,Cardiff
66,DNB,-,-,-,-,-,-,-,2,v West Indies,The Oval
67,DNB,-,-,-,-,-,-,-,2,v Pakistan,Birmingham
68,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cardiff
69,33*,35,25,2,2,132.00,7,not out,1,v England,Birmingham
70,15,27,20,2,0,75.00,7,bowled,1,v West Indies,Kingston
71,49*,76,62,4,1,79.03,7,not out,2,v Sri Lanka,Kingston
72,2,11,5,0,0,40.00,7,run out,1,v West Indies,Port of Spain
73,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Port of Spain
74,5,15,14,0,0,35.71,7,lbw,2,v Sri Lanka,Port of Spain
75,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
76,15,28,22,1,0,68.18,7,caught,1,v Zimbabwe,Harare
77,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
78,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo
79,48*,85,77,4,2,62.33,4,not out,2,v Zimbabwe,Bulawayo
80,11,22,18,1,0,61.11,7,caught,2,v Australia,Pune
81,DNB,-,-,-,-,-,-,-,2,v Australia,Jaipur
82,2,9,4,0,0,50.00,7,caught,1,v Australia,Mohali
83,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi
84,DNB,-,-,-,-,-,-,-,2,v Australia,Nagpur
85,0*,2,0,0,0,-,7,not out,1,v Australia,Bengaluru
86,DNB,-,-,-,-,-,-,-,2,v West Indies,Kochi
87,10,27,20,0,0,50.00,7,bowled,1,v West Indies,Visakhapatnam
88,2*,16,11,0,0,18.18,7,not out,2,v West Indies,Kanpur
89,29,36,30,6,0,96.66,7,bowled,2,v South Africa,Johannesburg
90,26,63,34,1,1,76.47,7,caught,2,v South Africa,Durban
91,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
92,0,2,3,0,0,0.00,7,caught,2,v New Zealand,Napier
93,12,20,8,0,1,150.00,7,bowled,2,v New Zealand,Hamilton
94,66*,77,45,5,4,146.66,8,not out,2,v New Zealand,Auckland
95,62*,78,54,8,2,114.81,7,not out,1,v New Zealand,Hamilton
96,5,7,6,1,0,83.33,8,caught,2,v New Zealand,Wellington
97,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Fatullah
