,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,DNB,-,-,-,-,-,-,-,2,v West Indies,Guwahati
1,17,18,13,2,0,130.76,6,lbw,1,v West Indies,Visakhapatnam
2,24,-,18,3,1,133.33,5,caught,2,v West Indies,Pune
3,36,-,24,4,1,150.00,5,caught,1,v Australia,Mohali
4,16,-,16,1,1,100.00,4,caught,2,v Australia,Delhi
5,32,58,29,4,0,110.34,4,caught,2,v England,Birmingham
6,48,56,41,6,1,117.07,4,caught,1,v Bangladesh,Birmingham
7,4,6,4,1,0,100.00,4,lbw,2,v Sri Lanka,Leeds
8,32,89,56,4,0,57.14,4,caught,2,v New Zealand,Manchester
9,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence
10,20,27,35,2,0,57.14,4,bowled,1,v West Indies,Port of Spain
11,0,3,1,0,0,0.00,4,caught,2,v West Indies,Port of Spain
12,71,-,69,7,1,102.89,5,caught,1,v West Indies,Chennai
13,39,-,16,3,4,243.75,5,caught,1,v West Indies,Visakhapatnam
14,7,-,6,1,0,116.66,5,bowled,2,v West Indies,Cuttack
15,28,-,33,2,1,84.84,6,caught,1,v Australia,Mumbai
