,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,DNB,-,-,-,-,-,-,-,2,v Ireland,Belfast
1,8,13,9,0,0,88.88,7,bowled,1,v South Africa,Belfast
2,1,3,4,0,0,25.00,7,caught,2,v Australia,Hyderabad (Deccan)
3,52,82,61,3,1,85.24,5,caught,2,v Pakistan,Jaipur
4,29,68,43,5,0,67.44,4,caught,1,v Australia,Brisbane
5,0,1,2,0,0,0.00,5,caught,1,v Sri Lanka,Brisbane
6,39*,86,61,2,0,63.93,6,not out,2,v Australia,Melbourne
7,70*,93,64,6,1,109.37,4,not out,1,v Sri Lanka,Canberra
8,1,12,3,0,0,33.33,4,caught,2,v Australia,Adelaide
9,24,74,36,1,0,66.66,4,caught,2,v Sri Lanka,Adelaide
10,1,3,3,0,0,33.33,4,caught,2,v Australia,Sydney
11,3*,8,7,0,0,42.85,5,not out,2,v Sri Lanka,Hobart
12,66,108,87,6,0,75.86,5,bowled,2,v Australia,Sydney
13,2,6,5,0,0,40.00,6,caught,1,v Australia,Brisbane
14,9,28,27,0,0,33.33,5,bowled,1,v Pakistan,Dhaka
15,26,50,43,1,1,60.46,3,caught,2,v Bangladesh,Dhaka
16,24,43,27,5,0,88.88,3,caught,2,v Pakistan,Dhaka
17,11,37,29,0,0,37.93,3,run out,1,v Hong Kong,Karachi
18,0*,3,1,0,0,0.00,6,not out,2,v Pakistan,Karachi
19,22,28,23,2,0,95.65,3,caught,2,v Bangladesh,Karachi
20,58,81,71,4,0,81.69,6,caught,1,v Pakistan,Karachi
21,22*,37,28,2,0,78.57,6,not out,2,v Sri Lanka,Karachi
22,3,8,8,0,0,37.50,6,lbw,2,v Sri Lanka,Karachi
23,19,46,31,1,1,61.29,5,caught,1,v Sri Lanka,Dambulla
24,0,2,2,0,0,0.00,6,lbw,2,v Sri Lanka,Dambulla
25,32,39,32,3,0,100.00,7,caught,1,v Sri Lanka,Colombo (RPS)
26,18,30,23,0,0,78.26,6,caught,1,v Sri Lanka,Colombo (RPS)
27,3,11,5,0,0,60.00,5,lbw,2,v Sri Lanka,Colombo (RPS)
28,11*,30,8,1,0,137.50,7,not out,1,v England,Rajkot
29,3,16,13,0,0,23.07,4,caught,1,v England,Indore
30,28,54,41,3,0,68.29,4,caught,2,v England,Kanpur
31,8*,13,10,1,0,80.00,6,not out,2,v England,Cuttack
32,25*,44,30,3,0,83.33,6,not out,2,v Sri Lanka,Dambulla
33,4*,12,6,0,0,66.66,7,not out,1,v Sri Lanka,Colombo (RPS)
34,15,31,22,1,0,68.18,5,caught,2,v Sri Lanka,Colombo (RPS)
35,DNB,-,-,-,-,-,-,-,2,v New Zealand,Hamilton
36,43*,106,74,1,1,58.10,4,not out,1,v New Zealand,Auckland
37,4,9,12,0,0,33.33,3,caught,1,v West Indies,Kingston
38,0,7,2,0,0,0.00,3,caught,1,v West Indies,Kingston
39,11,19,9,0,0,122.22,5,caught,2,v West Indies,Gros Islet
40,TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet
41,48,-,61,3,0,78.68,4,caught,2,v South Africa,Ahmedabad
42,114,135,119,6,4,95.79,4,caught,1,v Zimbabwe,Bulawayo
43,101*,126,100,6,2,101.00,4,not out,2,v Sri Lanka,Bulawayo
44,13,34,25,0,0,52.00,4,run out,1,v Zimbabwe,Harare
45,32,43,40,1,0,80.00,5,bowled,1,v Sri Lanka,Harare
46,0,1,1,0,0,0.00,4,lbw,2,v Bangladesh,Dambulla
47,22,20,24,2,0,91.66,5,lbw,2,v Pakistan,Dambulla
48,69,118,73,7,0,94.52,4,run out,1,v Sri Lanka,Dambulla
49,41,80,52,3,0,78.84,5,caught,1,v Sri Lanka,Dambulla
50,4,13,11,0,0,36.36,3,caught,2,v New Zealand,Dambulla
51,0,3,2,0,0,0.00,4,lbw,2,v Sri Lanka,Dambulla
52,11,-,21,2,0,52.38,3,lbw,1,v Sri Lanka,Dambulla
53,5,16,9,0,0,55.55,7,stumped,2,v Sri Lanka,Dambulla
54,44,56,48,4,1,91.66,5,caught,2,v New Zealand,Bengaluru
55,DNB,-,-,-,-,-,-,-,2,v New Zealand,Chennai
56,11,28,27,1,0,40.74,4,caught,2,v South Africa,Durban
57,9,29,14,1,0,64.28,7,lbw,1,v South Africa,Johannesburg
58,23,67,45,2,0,51.11,1,bowled,2,v South Africa,Cape Town
59,1,6,6,0,0,16.66,1,caught,2,v South Africa,Port Elizabeth
60,5,15,8,1,0,62.50,2,bowled,2,v South Africa,Centurion
61,68*,131,75,3,1,90.66,5,not out,2,v West Indies,Port of Spain
62,7*,8,14,1,0,50.00,5,not out,2,v West Indies,Port of Spain
63,86*,137,91,5,2,94.50,5,not out,2,v West Indies,North Sound
64,39,60,47,0,1,82.97,5,caught,2,v West Indies,North Sound
65,57,105,72,2,1,79.16,5,bowled,1,v West Indies,Kingston
66,0*,1,1,0,0,0.00,5,retired notout,1,v England,Chester-le-Street
67,72,185,99,3,1,72.72,5,bowled,2,v West Indies,Cuttack
68,90*,131,98,7,2,91.83,5,not out,2,v West Indies,Visakhapatnam
69,95,151,100,10,1,95.00,5,run out,2,v West Indies,Ahmedabad
70,27,21,16,3,0,168.75,5,bowled,1,v West Indies,Indore
71,21,31,26,1,0,80.76,6,bowled,1,v West Indies,Chennai
72,21,34,21,2,0,100.00,4,caught,2,v Australia,Melbourne
73,10,29,17,1,0,58.82,4,caught,2,v Sri Lanka,Perth
74,33,49,41,1,1,80.48,4,caught,2,v Australia,Adelaide
75,15,30,27,2,0,55.55,4,run out,2,v Sri Lanka,Adelaide
76,0,6,5,0,0,0.00,4,caught,2,v Australia,Brisbane
77,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Dhaka
78,4,9,6,0,0,66.66,6,run out,1,v Bangladesh,Dhaka
79,68,109,83,5,1,81.92,4,caught,2,v Pakistan,Dhaka
80,5,10,8,0,0,62.50,4,bowled,1,v Sri Lanka,Hambantota
81,0,5,5,0,0,0.00,4,bowled,1,v Sri Lanka,Hambantota
82,0,1,1,0,0,0.00,5,lbw,2,v Sri Lanka,Colombo (RPS)
83,4,18,14,0,0,28.57,4,lbw,2,v Sri Lanka,Colombo (RPS)
84,4,12,9,1,0,44.44,4,bowled,1,v Sri Lanka,Pallekele
85,4,19,14,0,0,28.57,5,caught,1,v Pakistan,Chennai
86,83,135,93,11,1,89.24,2,lbw,2,v England,Mohali
87,4,15,9,1,0,44.44,2,caught,1,v England,Dharamsala
88,65,96,81,8,1,80.24,1,caught,1,v South Africa,Cardiff
89,52,78,56,7,0,92.85,1,caught,2,v West Indies,The Oval
90,18,54,32,2,0,56.25,1,caught,2,v Pakistan,Birmingham
91,33,77,50,4,0,66.00,1,bowled,2,v Sri Lanka,Cardiff
