,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,0,1,2,0,0,0.00,1,bowled,2,v Australia,Visakhapatnam
1,51,105,76,3,1,67.10,2,caught,2,v West Indies,Port of Spain
2,3,12,4,0,0,75.00,2,caught,2,v West Indies,Port of Spain
3,4,35,15,0,0,26.66,2,caught,2,v West Indies,North Sound
4,11,32,26,1,0,42.30,1,caught,1,v West Indies,Kingston
5,114,159,94,12,1,121.27,2,caught,1,v South Africa,Cardiff
6,102*,183,107,10,1,95.32,2,not out,2,v West Indies,The Oval
7,48,70,41,5,0,117.07,2,caught,2,v Pakistan,Birmingham
8,68,140,92,6,1,73.91,2,stumped,2,v Sri Lanka,Cardiff
9,31,40,24,2,1,129.16,2,caught,1,v England,Birmingham
10,11,20,10,2,0,110.00,2,caught,1,v West Indies,Kingston
11,24,53,42,3,0,57.14,2,caught,2,v Sri Lanka,Kingston
12,69,102,77,8,2,89.61,2,caught,1,v West Indies,Port of Spain
13,15,26,16,2,0,93.75,2,caught,1,v Sri Lanka,Port of Spain
14,16,38,35,2,0,45.71,2,caught,2,v Sri Lanka,Port of Spain
15,17,27,21,3,0,80.95,2,caught,2,v Zimbabwe,Harare
16,116,209,127,11,2,91.33,2,bowled,1,v Zimbabwe,Harare
17,35,62,32,5,0,109.37,2,caught,2,v Zimbabwe,Harare
18,41,48,38,6,1,107.89,2,caught,2,v Zimbabwe,Bulawayo
19,7,29,15,1,0,46.66,1,caught,2,v Australia,Pune
20,95,112,86,14,0,110.46,2,caught,2,v Australia,Jaipur
21,8,8,6,2,0,133.33,2,caught,1,v Australia,Mohali
22,14*,19,12,3,0,116.66,2,not out,2,v Australia,Ranchi
23,100,152,102,11,0,98.03,2,bowled,2,v Australia,Nagpur
24,60,82,57,9,0,105.26,2,lbw,1,v Australia,Bengaluru
25,5,16,6,1,0,83.33,2,caught,2,v West Indies,Kochi
26,35,62,37,5,0,94.59,2,lbw,1,v West Indies,Visakhapatnam
27,119,164,95,20,0,125.26,2,caught,2,v West Indies,Kanpur
28,12,19,13,3,0,92.30,2,caught,2,v South Africa,Johannesburg
29,0,9,2,0,0,0.00,2,caught,2,v South Africa,Durban
30,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
31,32,84,46,3,0,69.56,2,caught,2,v New Zealand,Napier
32,12,32,22,2,0,54.54,1,bowled,2,v New Zealand,Hamilton
33,28,46,25,4,1,112.00,2,caught,2,v New Zealand,Auckland
34,9,43,28,1,0,32.14,2,caught,2,v New Zealand,Wellington
35,28,50,44,5,0,63.63,2,lbw,2,v Bangladesh,Fatullah
36,94,161,114,7,1,82.45,2,bowled,1,v Sri Lanka,Fatullah
37,10,12,13,2,0,76.92,2,lbw,1,v Pakistan,Dhaka
38,60,98,78,4,1,76.92,2,bowled,2,v Afghanistan,Dhaka
39,11,29,22,2,0,50.00,2,caught,1,v England,Cardiff
40,16,29,23,1,0,69.56,2,caught,2,v England,Nottingham
41,97*,132,81,11,4,119.75,2,not out,2,v England,Birmingham
42,31,54,44,4,1,70.45,2,bowled,2,v England,Leeds
43,68,146,92,9,0,73.91,2,bowled,2,v West Indies,Kochi
44,1,9,9,0,0,11.11,2,bowled,1,v West Indies,Delhi
45,35,51,35,6,1,100.00,2,caught,1,v West Indies,Dharamsala
46,113,159,107,14,3,105.60,2,bowled,1,v Sri Lanka,Cuttack
47,79,-,80,7,1,98.75,2,caught,2,v Sri Lanka,Ahmedabad
48,91,-,79,8,1,115.18,2,caught,2,v Sri Lanka,Hyderabad (Deccan)
49,2,3,4,0,0,50.00,2,caught,1,v Australia,Melbourne
50,1,9,5,0,0,20.00,2,caught,1,v England,Brisbane
51,8,24,13,0,0,61.53,2,caught,1,v Australia,Sydney
52,38,85,65,4,0,58.46,2,caught,1,v England,Perth
53,73,136,76,7,1,96.05,2,run out,1,v Pakistan,Adelaide
54,137,199,146,16,2,93.83,2,caught,1,v South Africa,Melbourne
55,14,27,17,3,0,82.35,2,caught,2,v U.A.E.,Perth
56,9,17,14,1,0,64.28,2,caught,2,v West Indies,Perth
57,100,119,85,11,5,117.64,2,caught,2,v Ireland,Hamilton
58,4,27,20,1,0,20.00,2,bowled,2,v Zimbabwe,Auckland
59,30,74,50,3,0,60.00,2,stumped,1,v Bangladesh,Melbourne
60,45,57,41,6,1,109.75,2,caught,2,v Australia,Sydney
61,30,74,38,3,0,78.94,2,caught,2,v Bangladesh,Dhaka
62,53,88,60,7,0,88.33,2,caught,1,v Bangladesh,Dhaka
63,75,118,73,10,0,102.73,2,caught,1,v Bangladesh,Dhaka
64,23,33,28,5,0,82.14,2,lbw,2,v South Africa,Kanpur
65,23,57,34,4,0,67.64,2,caught,1,v South Africa,Indore
66,13,45,29,2,0,44.82,2,caught,2,v South Africa,Rajkot
67,7,36,15,0,0,46.66,2,caught,1,v South Africa,Chennai
68,60,100,59,8,0,101.69,2,caught,2,v South Africa,Mumbai
69,9,27,22,1,0,40.90,2,caught,1,v Australia,Perth
70,6,10,4,1,0,150.00,2,caught,1,v Australia,Brisbane
71,68,108,91,9,0,74.72,2,bowled,1,v Australia,Melbourne
72,126,154,113,14,2,111.50,2,caught,2,v Australia,Canberra
