,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,7.0,0,26,1,3.71,1,2,v Sri Lanka,Colombo (RPS)
1,6.0,0,48,0,8.00,2,1,v Sri Lanka,Colombo (RPS)
2,8.5,0,52,4,5.88,1,1,v South Africa,Centurion
3,10.0,0,51,1,5.10,3,2,v England,Leeds
4,4.0,0,41,0,10.25,3,2,v Hong Kong,Dubai (DSC)
5,8.0,0,55,1,6.87,2,2,v West Indies,Visakhapatnam
6,10.0,0,66,1,6.60,1,1,v West Indies,Cuttack
7,5.0,0,43,0,8.60,3,2,v Australia,Mumbai
8,9.0,0,80,1,8.88,3,2,v New Zealand,Hamilton
9,10.0,1,60,2,6.00,1,1,v New Zealand,Auckland
10,9.1,0,87,1,9.49,4,2,v New Zealand,Mount Maunganui
