,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,DNB,-,-,-,-,-,-,-,1,v New Zealand,Delhi
1,23,29,21,4,0,109.52,3,caught,2,v New Zealand,Rajkot
2,6,13,6,0,0,100.00,4,caught,1,v New Zealand,Thiruvananthapuram
3,24,36,20,3,0,120.00,3,caught,1,v Sri Lanka,Cuttack
4,0,1,1,0,0,0.00,5,lbw,1,v Sri Lanka,Indore
5,30,50,32,1,1,93.75,3,run out,2,v Sri Lanka,Mumbai
6,16*,20,14,2,0,114.28,5,not out,2,v South Africa,Mohali
7,5,21,8,0,0,62.50,5,stumped,1,v South Africa,Bengaluru
8,22,-,13,1,2,169.23,4,caught,1,v Bangladesh,Delhi
9,24*,-,13,3,1,184.61,4,not out,2,v Bangladesh,Rajkot
10,62,-,33,3,5,187.87,4,caught,1,v Bangladesh,Nagpur
11,4,-,6,0,0,66.66,5,caught,2,v West Indies,Hyderabad (Deccan)
12,10,-,11,1,0,90.90,6,caught,1,v West Indies,Thiruvananthapuram
13,0*,-,0,0,0,-,5,not out,1,v West Indies,Mumbai
14,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Guwahati
15,34,-,26,3,1,130.76,3,caught,2,v Sri Lanka,Indore
16,4,-,2,1,0,200.00,5,caught,1,v Sri Lanka,Pune
17,58*,-,29,5,3,200.00,4,not out,2,v New Zealand,Auckland
18,44,49,33,1,3,133.33,4,caught,2,v New Zealand,Auckland
19,17,20,16,0,1,106.25,5,stumped,1,v New Zealand,Hamilton
20,1,10,7,0,0,14.28,4,caught,1,v New Zealand,Wellington
21,33*,-,31,1,2,106.45,4,not out,1,v New Zealand,Mount Maunganui
