,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,8.0,0,48,0,6.00,3,2,v Zimbabwe,Bulawayo
1,10.0,1,61,1,6.10,1,1,v Sri Lanka,Bulawayo
2,4.0,0,20,0,5.00,3,2,v Zimbabwe,Harare
3,5.0,0,32,2,6.40,4,2,v England,Hyderabad (Deccan)
4,8.2,0,50,2,6.00,4,1,v England,Delhi
5,10.0,0,71,0,7.10,4,1,v England,Mohali
6,8.0,1,33,2,4.12,2,1,v West Indies,Cuttack
7,10.0,0,38,3,3.80,2,1,v West Indies,Visakhapatnam
8,9.0,1,75,1,8.33,2,1,v West Indies,Ahmedabad
9,10.0,1,49,2,4.90,4,1,v Australia,Adelaide
10,9.0,0,51,0,5.66,3,1,v Sri Lanka,Adelaide
11,7.0,0,46,0,6.57,5,1,v Australia,Brisbane
12,8.0,0,58,1,7.25,3,1,v Sri Lanka,Brisbane
13,6.0,0,39,2,6.50,4,1,v Australia,Sydney
14,8.0,0,56,0,7.00,3,1,v Sri Lanka,Hobart
15,10.0,0,76,2,7.60,3,2,v Sri Lanka,Hambantota
16,4.0,0,38,0,9.50,3,2,v Sri Lanka,Hambantota
17,10.0,0,75,2,7.50,2,2,v South Africa,Cardiff
18,9.0,0,54,1,6.00,2,1,v West Indies,The Oval
19,6.4,0,29,0,4.35,2,1,v Pakistan,Birmingham
20,8.0,2,30,0,3.75,2,1,v Sri Lanka,Cardiff
21,2.0,0,10,1,5.00,2,2,v England,Birmingham
22,9.4,2,43,3,4.44,2,2,v West Indies,Kingston
23,8.0,0,64,0,8.00,2,1,v Sri Lanka,Kingston
24,8.0,1,32,3,4.00,2,2,v West Indies,Port of Spain
25,4.4,0,28,1,6.00,2,2,v Sri Lanka,Port of Spain
26,6.0,0,45,0,7.50,1,1,v South Africa,Durban
27,9.0,0,57,1,6.33,2,1,v South Africa,Centurion
28,9.0,0,48,3,5.33,2,1,v Bangladesh,Dhaka
29,5.0,0,32,0,6.40,2,2,v Bangladesh,Dhaka
30,TDNB,-,-,-,-,-,-,v Bangladesh,Dhaka
31,6.0,0,46,1,7.66,2,1,v England,Leeds
32,9.0,0,42,1,4.66,2,2,v West Indies,Delhi
33,9.0,0,44,2,4.88,2,2,v West Indies,Dharamsala
34,6.2,2,24,2,3.78,1,2,v Sri Lanka,Cuttack
35,10.0,1,54,2,5.40,1,1,v Sri Lanka,Ahmedabad
36,9.0,0,53,4,5.88,1,1,v Sri Lanka,Hyderabad (Deccan)
37,8.0,0,38,2,4.75,1,2,v Sri Lanka,Kolkata
38,10.0,1,55,2,5.50,2,2,v Australia,Melbourne
39,6.0,0,42,0,7.00,3,2,v England,Brisbane
40,10.0,0,50,2,5.00,1,2,v Pakistan,Adelaide
41,6.0,0,34,0,5.66,1,2,v South Africa,Melbourne
42,6.3,2,15,2,2.30,2,1,v U.A.E.,Perth
43,10.0,1,42,2,4.20,2,1,v West Indies,Perth
44,4.0,0,34,1,8.50,1,1,v Ireland,Hamilton
45,9.5,1,43,3,4.37,2,1,v Zimbabwe,Auckland
46,9.0,1,31,4,3.44,1,2,v Bangladesh,Melbourne
47,9.0,0,72,4,8.00,2,1,v Australia,Sydney
48,8.0,0,58,2,7.25,2,1,v Bangladesh,Dhaka
49,4.0,0,33,0,8.25,3,2,v Bangladesh,Dhaka
50,10.0,0,71,2,7.10,2,1,v South Africa,Kanpur
51,8.0,0,52,1,6.50,2,2,v South Africa,Indore
52,10.0,0,54,0,5.40,4,2,v Australia,Perth
53,10.0,0,74,1,7.40,3,2,v Australia,Brisbane
54,9.5,0,68,2,6.91,1,2,v Australia,Melbourne
55,10.0,1,67,3,6.70,1,1,v Australia,Canberra
56,8.0,0,82,1,10.25,2,1,v Australia,Sydney
57,8.0,0,31,2,3.87,1,1,v New Zealand,Dharamsala
58,9.0,0,42,1,4.66,1,1,v New Zealand,Delhi
59,10.0,0,75,3,7.50,1,1,v New Zealand,Mohali
60,10.0,1,60,1,6.00,1,1,v New Zealand,Ranchi
61,4.0,0,28,1,7.00,1,2,v New Zealand,Visakhapatnam
62,7.0,0,63,1,9.00,1,1,v England,Pune
63,7.4,1,30,3,3.91,2,2,v Pakistan,Birmingham
64,9.4,0,67,0,6.93,2,2,v Sri Lanka,The Oval
65,TDNB,-,-,-,-,-,-,v West Indies,Port of Spain
66,6.0,0,36,0,6.00,2,2,v West Indies,Port of Spain
67,7.0,0,32,1,4.57,2,2,v West Indies,North Sound
68,10.0,1,36,3,3.60,2,1,v West Indies,North Sound
69,10.0,1,53,3,5.30,2,1,v West Indies,Kingston
70,10.0,0,71,4,7.10,2,1,v Australia,Bengaluru
71,9.5,0,70,2,7.11,1,1,v England,Nottingham
72,10.0,0,63,1,6.30,1,1,v England,Lord's
73,10.0,0,64,0,6.40,2,1,v West Indies,Guwahati
74,10.0,0,78,1,7.80,2,2,v West Indies,Visakhapatnam
