,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
0,12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla
1,37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla
2,25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS)
3,54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS)
4,31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS)
5,2*,6,2,0,0,100.00,7,not out,1,v Sri Lanka,Colombo (RPS)
6,16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion
7,TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion
8,79*,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg
9,30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara
10,10,32,16,1,0,62.50,3,caught,2,v Australia,Mohali
11,27,20,19,4,0,142.10,7,bowled,1,v Sri Lanka,Rajkot
12,54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur
13,107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata
14,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi
15,9,19,12,1,0,75.00,3,caught,1,v Sri Lanka,Dhaka
16,91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka
17,71*,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Dhaka
18,102*,128,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka
19,2,6,8,0,0,25.00,3,caught,1,v Sri Lanka,Dhaka
20,31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur
21,DNB,-,-,-,-,-,-,-,1,v South Africa,Gwalior
22,57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad
23,0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo
24,82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo
25,18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare
26,68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare
27,11,35,22,0,0,50.00,3,stumped,2,v Bangladesh,Dambulla
28,18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla
29,10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla
30,28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla
31,0,5,3,0,0,0.00,3,caught,2,v Sri Lanka,Dambulla
32,8,22,16,1,0,50.00,3,caught,1,v New Zealand,Dambulla
33,37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla
34,118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam
35,105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati
36,64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur
37,63*,83,70,6,2,90.00,3,not out,2,v New Zealand,Vadodara
