,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground
0,10.0,1,27,1,2.70,5,1,v Zimbabwe,Harare
1,6.0,2,25,3,4.16,5,1,v Zimbabwe,Harare
2,8.0,0,25,2,3.12,5,1,v Zimbabwe,Harare
3,10.0,0,60,2,6.00,4,1,v Sri Lanka,Dambulla
4,10.0,1,43,2,4.30,3,1,v Sri Lanka,Pallekele
5,10.0,0,49,0,4.90,3,1,v Sri Lanka,Pallekele
6,10.0,0,36,1,3.60,6,1,v Sri Lanka,Colombo (RPS)
7,5.0,0,30,3,6.00,5,2,v Australia,Chennai
8,10.0,1,34,2,3.40,4,2,v Australia,Kolkata
9,10.0,0,54,1,5.40,3,1,v Australia,Indore
10,8.0,0,54,0,6.75,5,1,v Australia,Bengaluru
11,10.0,0,51,0,5.10,5,2,v New Zealand,Mumbai
12,8.0,1,36,2,4.50,6,1,v New Zealand,Pune
13,10.0,0,47,2,4.70,6,2,v New Zealand,Kanpur
14,DNB,-,-,-,-,-,2,v Sri Lanka,Dharamsala
15,10.0,0,60,3,6.00,5,2,v Sri Lanka,Mohali
16,10.0,3,46,3,4.60,5,1,v Sri Lanka,Visakhapatnam
17,10.0,0,45,2,4.50,4,1,v South Africa,Durban
18,8.2,1,22,5,2.64,4,1,v South Africa,Centurion
19,9.0,0,46,4,5.11,4,2,v South Africa,Cape Town
20,5.3,0,68,1,12.36,5,2,v South Africa,Johannesburg
21,9.2,0,43,2,4.60,5,2,v South Africa,Port Elizabeth
22,10.0,0,38,2,3.80,5,1,v South Africa,Centurion
23,10.0,0,51,1,5.10,3,1,v England,Nottingham
24,10.0,0,43,1,4.30,4,1,v England,Lord's
25,10.0,0,41,0,4.10,4,2,v England,Leeds
26,10.0,0,46,3,4.60,4,2,v Hong Kong,Dubai (DSC)
27,7.0,0,34,0,4.85,4,1,v Pakistan,Dubai (DSC)
28,10.0,0,40,0,4.00,3,1,v Bangladesh,Dubai (DSC)
29,9.0,0,46,2,5.11,3,1,v Pakistan,Dubai (DSC)
30,8.0,1,31,1,3.87,3,1,v Bangladesh,Dubai (DSC)
31,10.0,0,41,3,4.10,4,1,v West Indies,Guwahati
32,10.0,0,63,1,6.30,5,2,v West Indies,Visakhapatnam
33,10.0,1,56,1,5.60,4,1,v West Indies,Pune
34,10.0,0,42,6,4.20,6,1,v Australia,Melbourne
35,10.0,0,43,2,4.30,4,1,v New Zealand,Napier
36,9.2,0,52,2,5.57,4,2,v New Zealand,Mount Maunganui
37,9.0,0,51,2,5.66,3,1,v New Zealand,Mount Maunganui
38,2.4,0,32,0,12.00,4,2,v New Zealand,Hamilton
39,10.0,0,41,3,4.10,5,2,v New Zealand,Wellington
40,10.0,0,80,1,8.00,6,2,v Australia,Mohali
41,10.0,0,51,4,5.10,5,1,v South Africa,Southampton
42,10.0,0,62,2,6.20,5,2,v Australia,The Oval
43,7.0,0,53,0,7.57,6,2,v Pakistan,Manchester
44,10.0,0,36,2,3.60,3,2,v Afghanistan,Southampton
45,7.0,0,39,2,5.57,6,2,v West Indies,Manchester
46,10.0,0,88,0,8.80,3,1,v England,Birmingham
47,10.0,0,50,1,5.00,4,2,v Bangladesh,Birmingham
48,10.0,0,63,1,6.30,5,1,v New Zealand,Manchester
49,7.0,0,32,1,4.57,4,1,v West Indies,Port of Spain
50,10.0,0,58,3,5.80,4,1,v New Zealand,Auckland
51,10.0,1,47,3,4.70,3,2,v New Zealand,Mount Maunganui
